Retailer,Product ID,City,Category,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Foot Locker,TEC-PH-10000486,New York,Men's Apparel,$60.00 ,925,"$5,55,000 ","$1,66,500 ",30%
Foot Locker,TEC-PH-10004093,New York,Women's Apparel,$65.00 ,"1,100","$7,15,000 ","$1,78,750 ",25%
Foot Locker,OFF-ST-10003479,New York,Men's Street Footwear,$60.00 ,"1,250","$7,50,000 ","$3,75,000 ",50%
Foot Locker,OFF-ST-10003282,New York,Men's Athletic Footwear,$55.00 ,"1,025","$5,63,750 ","$1,69,125 ",30%
Foot Locker,TEC-AC-10000171,New York,Women's Street Footwear,$50.00 ,950,"$4,75,000 ","$1,66,250 ",35%
Foot Locker,OFF-BI-10003291,New York,Women's Athletic Footwear,$50.00 ,925,"$4,62,500 ","$1,61,875 ",35%
Walmart,OFF-ST-10001713,New York,Men's Apparel,$60.00 ,900,"$5,40,000 ","$1,62,000 ",30%
Walmart,TEC-AC-10002167,New York,Women's Apparel,$65.00 ,"1,075","$6,98,750 ","$1,74,688 ",25%
Walmart,TEC-PH-10003988,New York,Men's Street Footwear,$60.00 ,"1,200","$7,20,000 ","$3,60,000 ",50%
Walmart,OFF-BI-10004410,New York,Men's Athletic Footwear,$55.00 ,"1,000","$5,50,000 ","$1,65,000 ",30%
Walmart,OFF-LA-10002762,New York,Women's Street Footwear,$50.00 ,925,"$4,62,500 ","$1,61,875 ",35%
Walmart,FUR-FU-10001706,New York,Women's Athletic Footwear,$50.00 ,900,"$4,50,000 ","$1,57,500 ",35%
Walmart,FUR-CH-10003061,New York,Men's Apparel,$60.00 ,900,"$5,40,000 ","$1,62,000 ",30%
Walmart,OFF-FA-10000304,New York,Women's Apparel,$65.00 ,"1,000","$6,50,000 ","$1,62,500 ",25%
Walmart,TEC-PH-10002447,New York,Men's Apparel,$65.00 ,875,"$5,68,750 ","$1,70,625 ",30%
Walmart,OFF-ST-10000604,New York,Women's Apparel,$70.00 ,"1,000","$7,00,000 ","$1,75,000 ",25%
Walmart,OFF-PA-10001569,New York,Men's Street Footwear,$65.00 ,"1,150","$7,47,500 ","$3,73,750 ",50%
Walmart,FUR-CH-10003968,New York,Men's Athletic Footwear,$55.00 ,975,"$5,36,250 ","$1,60,875 ",30%
Walmart,OFF-PA-10000587,New York,Women's Street Footwear,$55.00 ,920,"$5,06,000 ","$1,77,100 ",35%
Walmart,TEC-AC-10002167,New York,Women's Athletic Footwear,$55.00 ,900,"$4,95,000 ","$1,73,250 ",35%
Walmart,OFF-BI-10001460,New York,Men's Apparel,$65.00 ,875,"$5,68,750 ","$1,70,625 ",30%
Walmart,OFF-AR-10001868,New York,Women's Apparel,$70.00 ,975,"$6,82,500 ","$1,70,625 ",25%
Walmart,TEC-AC-10004633,New York,Men's Street Footwear,$65.00 ,"1,200","$7,80,000 ","$3,90,000 ",50%
Walmart,OFF-BI-10001078,New York,Men's Athletic Footwear,$55.00 ,"1,000","$5,50,000 ","$1,65,000 ",30%
Walmart,OFF-PA-10003892,New York,Women's Street Footwear,$55.00 ,950,"$5,22,500 ","$1,82,875 ",35%
Walmart,FUR-FU-10000397,New York,Women's Athletic Footwear,$55.00 ,900,"$4,95,000 ","$1,73,250 ",35%
Walmart,FUR-CH-10001146,New York,Men's Apparel,$65.00 ,900,"$5,85,000 ","$1,75,500 ",30%
Walmart,OFF-AR-10002671,New York,Women's Apparel,$70.00 ,"1,000","$7,00,000 ","$1,75,000 ",25%
Sports Direct,TEC-PH-10002726,New York,Men's Street Footwear,$25.00 ,900,"$2,25,000 ","$78,750 ",35%
Sports Direct,OFF-PA-10000482,New York,Men's Athletic Footwear,$35.00 ,900,"$3,15,000 ","$1,10,250 ",35%
Sports Direct,OFF-BI-10004654,New York,Women's Street Footwear,$35.00 ,700,"$2,45,000 ","$85,750 ",35%
Sports Direct,OFF-PA-10004675,New York,Women's Athletic Footwear,$35.00 ,700,"$2,45,000 ","$1,10,250 ",45%
Sports Direct,FUR-CH-10000513,Houston,Men's Apparel,$40.00 ,550,"$2,20,000 ","$66,000 ",30%
Sports Direct,FUR-FU-10003708,Houston,Women's Apparel,$35.00 ,700,"$2,45,000 ","$1,22,500 ",50%
Sports Direct,OFF-ST-10004123,Houston,Men's Street Footwear,$25.00 ,850,"$2,12,500 ","$74,375 ",35%
Sports Direct,OFF-BI-10004182,Houston,Men's Athletic Footwear,$35.00 ,850,"$2,97,500 ","$1,04,125 ",35%
Sports Direct,FUR-FU-10000260,Houston,Women's Street Footwear,$35.00 ,675,"$2,36,250 ","$82,688 ",35%
Sports Direct,OFF-ST-10000615,Houston,Women's Athletic Footwear,$35.00 ,625,"$2,18,750 ","$98,438 ",45%
Sports Direct,FUR-FU-10003194,Houston,Men's Apparel,$40.00 ,500,"$2,00,000 ","$60,000 ",30%
Sports Direct,OFF-AP-10002118,Houston,Women's Apparel,$35.00 ,700,"$2,45,000 ","$1,22,500 ",50%
Sports Direct,OFF-BI-10002309,Houston,Men's Street Footwear,$30.00 ,875,"$2,62,500 ","$91,875 ",35%
Sports Direct,OFF-AR-10002053,Houston,Men's Athletic Footwear,$40.00 ,875,"$3,50,000 ","$1,22,500 ",35%
Sports Direct,OFF-ST-10002370,Houston,Women's Street Footwear,$35.00 ,700,"$2,45,000 ","$85,750 ",35%
Sports Direct,OFF-EN-10000927,Houston,Women's Athletic Footwear,$40.00 ,600,"$2,40,000 ","$1,08,000 ",45%
Sports Direct,OFF-ST-10003656,Houston,Men's Apparel,$45.00 ,500,"$2,25,000 ","$67,500 ",30%
Sports Direct,FUR-CH-10000863,Houston,Women's Apparel,$40.00 ,650,"$2,60,000 ","$1,30,000 ",50%
Sports Direct,TEC-AC-10001998,Houston,Men's Street Footwear,$30.00 ,900,"$2,70,000 ","$94,500 ",35%
Sports Direct,OFF-LA-10000134,Houston,Men's Athletic Footwear,$40.00 ,900,"$3,60,000 ","$1,26,000 ",35%
Sports Direct,OFF-ST-10003442,Houston,Women's Street Footwear,$35.00 ,725,"$2,53,750 ","$88,813 ",35%
Sports Direct,OFF-AR-10004930,Houston,Women's Athletic Footwear,$40.00 ,625,"$2,50,000 ","$1,12,500 ",45%
Walmart,TEC-PH-10004093,Houston,Men's Apparel,$45.00 ,525,"$2,36,250 ","$70,875 ",30%
Walmart,OFF-PA-10000304,Houston,Women's Apparel,$40.00 ,800,"$3,20,000 ","$1,60,000 ",50%
Walmart,OFF-PA-10003177,Houston,Men's Street Footwear,$30.00 ,925,"$2,77,500 ","$97,125 ",35%
Walmart,FUR-FU-10003799,Houston,Men's Athletic Footwear,$40.00 ,925,"$3,70,000 ","$1,29,500 ",35%
Walmart,OFF-BI-10002852,Houston,Women's Street Footwear,$35.00 ,775,"$2,71,250 ","$94,938 ",35%
Walmart,OFF-BI-10004738,Houston,Women's Athletic Footwear,$40.00 ,700,"$2,80,000 ","$1,26,000 ",45%
Walmart,FUR-FU-10000629,Houston,Men's Apparel,$45.00 ,600,"$2,70,000 ","$81,000 ",30%
Walmart,OFF-BI-10001721,Houston,Women's Apparel,$40.00 ,950,"$3,80,000 ","$1,90,000 ",50%
Walmart,OFF-AP-10000358,Houston,Men's Street Footwear,$40.00 ,950,"$3,80,000 ","$1,33,000 ",35%
Walmart,OFF-PA-10003256,Houston,Men's Athletic Footwear,$45.00 ,950,"$4,27,500 ","$1,49,625 ",35%
Walmart,TEC-AC-10001767,Houston,Women's Street Footwear,$40.00 ,800,"$3,20,000 ","$1,12,000 ",35%
Walmart,OFF-BI-10002609,Houston,Women's Athletic Footwear,$40.00 ,750,"$3,00,000 ","$1,35,000 ",45%
Walmart,OFF-PA-10004040,Houston,Men's Apparel,$45.00 ,650,"$2,92,500 ","$87,750 ",30%
Walmart,TEC-AC-10001552,Houston,Women's Apparel,$50.00 ,"1,000","$5,00,000 ","$2,50,000 ",50%
Walmart,FUR-FU-10004006,Houston,Men's Street Footwear,$40.00 ,950,"$3,80,000 ","$1,33,000 ",35%
Walmart,OFF-BI-10002794,Houston,Men's Athletic Footwear,$45.00 ,950,"$4,27,500 ","$1,49,625 ",35%
Walmart,TEC-AC-10003499,Houston,Women's Street Footwear,$40.00 ,"1,100","$4,40,000 ","$1,54,000 ",35%
Walmart,TEC-PH-10002844,Houston,Women's Athletic Footwear,$40.00 ,700,"$2,80,000 ","$1,26,000 ",45%
Walmart,OFF-AR-10000390,Houston,Men's Apparel,$45.00 ,700,"$3,15,000 ","$94,500 ",30%
Walmart,TEC-AC-10000844,Houston,Women's Apparel,$50.00 ,975,"$4,87,500 ","$2,43,750 ",50%
Walmart,FUR-FU-10001934,Houston,Men's Street Footwear,$40.00 ,925,"$3,70,000 ","$1,29,500 ",35%
Walmart,OFF-AR-10000380,Houston,Men's Athletic Footwear,$45.00 ,925,"$4,16,250 ","$1,45,688 ",35%
Walmart,OFF-BI-10003981,Houston,Women's Street Footwear,$40.00 ,"1,100","$4,40,000 ","$1,54,000 ",35%
Walmart,OFF-FA-10000621,Houston,Women's Athletic Footwear,$40.00 ,650,"$2,60,000 ","$1,17,000 ",45%
Walmart,OFF-EN-10002600,Houston,Men's Apparel,$45.00 ,650,"$2,92,500 ","$87,750 ",30%
Walmart,OFF-PA-10004965,Houston,Women's Apparel,$50.00 ,900,"$4,50,000 ","$2,25,000 ",50%
Walmart,OFF-EN-10002504,Houston,Men's Street Footwear,$45.00 ,850,"$3,82,500 ","$1,33,875 ",35%
Walmart,FUR-TA-10001768,Houston,Men's Athletic Footwear,$45.00 ,850,"$3,82,500 ","$1,33,875 ",35%
Walmart,OFF-BI-10003650,Houston,Women's Street Footwear,$50.00 ,900,"$4,50,000 ","$1,57,500 ",35%
Walmart,FUR-FU-10002157,Houston,Women's Athletic Footwear,$50.00 ,625,"$3,12,500 ","$1,40,625 ",45%
Walmart,OFF-BI-10003910,Houston,Men's Apparel,$45.00 ,625,"$2,81,250 ","$84,375 ",30%
Walmart,OFF-ST-10000777,Houston,Women's Apparel,$55.00 ,850,"$4,67,500 ","$2,33,750 ",50%
Walmart,OFF-EN-10002500,Houston,Men's Street Footwear,$45.00 ,800,"$3,60,000 ","$1,26,000 ",35%
Walmart,TEC-PH-10003875,Houston,Men's Athletic Footwear,$45.00 ,800,"$3,60,000 ","$1,26,000 ",35%
Walmart,FUR-CH-10004063,Houston,Women's Street Footwear,$50.00 ,750,"$3,75,000 ","$1,31,250 ",35%
Walmart,FUR-TA-10004534,Houston,Women's Athletic Footwear,$50.00 ,600,"$3,00,000 ","$1,35,000 ",45%
Walmart,OFF-BI-10003274,Houston,Men's Apparel,$45.00 ,575,"$2,58,750 ","$77,625 ",30%
Walmart,OFF-ST-10002974,Houston,Women's Apparel,$55.00 ,750,"$4,12,500 ","$2,06,250 ",50%
Walmart,FUR-CH-10001146,Houston,Men's Street Footwear,$45.00 ,900,"$4,05,000 ","$1,41,750 ",35%
Walmart,FUR-FU-10003773,Houston,Men's Athletic Footwear,$45.00 ,900,"$4,05,000 ","$1,41,750 ",35%
Walmart,TEC-PH-10002293,Houston,Women's Street Footwear,$50.00 ,825,"$4,12,500 ","$1,44,375 ",35%
Walmart,OFF-PA-10002377,Houston,Women's Athletic Footwear,$50.00 ,675,"$3,37,500 ","$1,51,875 ",45%
Walmart,OFF-FA-10002780,Houston,Men's Apparel,$45.00 ,650,"$2,92,500 ","$87,750 ",30%
Walmart,OFF-PA-10001804,Houston,Women's Apparel,$55.00 ,850,"$4,67,500 ","$2,33,750 ",50%
Walmart,OFF-PA-10001736,Houston,Men's Street Footwear,$45.00 ,950,"$4,27,500 ","$1,49,625 ",35%
Walmart,OFF-AR-10001149,Houston,Men's Athletic Footwear,$45.00 ,950,"$4,27,500 ","$1,49,625 ",35%
Walmart,OFF-FA-10002988,Houston,Women's Street Footwear,$50.00 ,850,"$4,25,000 ","$1,48,750 ",35%
Walmart,OFF-BI-10004781,Houston,Women's Athletic Footwear,$50.00 ,700,"$3,50,000 ","$1,57,500 ",45%
Walmart,OFF-SU-10001218,Houston,Men's Apparel,$45.00 ,650,"$2,92,500 ","$87,750 ",30%
Walmart,FUR-FU-10001706,Houston,Women's Apparel,$55.00 ,900,"$4,95,000 ","$2,47,500 ",50%
West Gear,FUR-FU-10004848,Houston,Men's Street Footwear,$40.00 ,775,"$3,10,000 ","$1,08,500 ",35%
West Gear,OFF-AR-10000940,Houston,Men's Athletic Footwear,$50.00 ,775,"$3,87,500 ","$77,500 ",20%
West Gear,OFF-EN-10004030,Houston,Women's Street Footwear,$50.00 ,775,"$3,87,500 ","$1,35,625 ",35%
West Gear,OFF-PA-10004327,Houston,Women's Athletic Footwear,$50.00 ,625,"$3,12,500 ","$93,750 ",30%
West Gear,OFF-AP-10001058,San Francisco,Men's Apparel,$55.00 ,575,"$3,16,250 ","$1,58,125 ",50%
West Gear,OFF-ST-10003656,San Francisco,Women's Apparel,$50.00 ,775,"$3,87,500 ","$58,125 ",15%
West Gear,FUR-FU-10000521,San Francisco,Men's Street Footwear,$40.00 ,825,"$3,30,000 ","$1,15,500 ",35%
West Gear,TEC-PH-10000215,San Francisco,Men's Athletic Footwear,$50.00 ,725,"$3,62,500 ","$72,500 ",20%
West Gear,TEC-PH-10001448,San Francisco,Women's Street Footwear,$50.00 ,725,"$3,62,500 ","$1,26,875 ",35%
West Gear,FUR-CH-10000454,San Francisco,Women's Athletic Footwear,$50.00 ,575,"$2,87,500 ","$86,250 ",30%
West Gear,OFF-BI-10002735,San Francisco,Men's Apparel,$55.00 ,500,"$2,75,000 ","$1,37,500 ",50%
West Gear,OFF-AP-10000326,San Francisco,Women's Apparel,$50.00 ,700,"$3,50,000 ","$52,500 ",15%
West Gear,TEC-PH-10001254,San Francisco,Men's Street Footwear,$50.00 ,850,"$4,25,000 ","$1,48,750 ",35%
West Gear,OFF-PA-10001950,San Francisco,Men's Athletic Footwear,$60.00 ,700,"$4,20,000 ","$84,000 ",20%
West Gear,OFF-PA-10002254,San Francisco,Women's Street Footwear,$60.00 ,700,"$4,20,000 ","$1,47,000 ",35%
West Gear,OFF-ST-10001590,San Francisco,Women's Athletic Footwear,$60.00 ,600,"$3,60,000 ","$1,08,000 ",30%
West Gear,OFF-AR-10001547,San Francisco,Men's Apparel,$65.00 ,500,"$3,25,000 ","$1,62,500 ",50%
West Gear,FUR-CH-10004063,San Francisco,Women's Apparel,$60.00 ,700,"$4,20,000 ","$63,000 ",15%
West Gear,OFF-LA-10002475,San Francisco,Men's Street Footwear,$60.00 ,875,"$5,25,000 ","$1,83,750 ",35%
West Gear,TEC-PH-10004536,San Francisco,Men's Athletic Footwear,$65.00 ,675,"$4,38,750 ","$87,750 ",20%
West Gear,OFF-PA-10002751,San Francisco,Women's Street Footwear,$65.00 ,725,"$4,71,250 ","$1,64,938 ",35%
West Gear,TEC-AC-10003657,San Francisco,Women's Athletic Footwear,$60.00 ,625,"$3,75,000 ","$1,12,500 ",30%
West Gear,OFF-EN-10001990,San Francisco,Men's Apparel,$65.00 ,525,"$3,41,250 ","$1,70,625 ",50%
West Gear,OFF-BI-10004002,San Francisco,Women's Apparel,$80.00 ,700,"$5,60,000 ","$84,000 ",15%
West Gear,OFF-AR-10004441,San Francisco,Men's Street Footwear,$60.00 ,900,"$5,40,000 ","$2,16,000 ",40%
West Gear,TEC-MA-10000822,San Francisco,Men's Athletic Footwear,$65.00 ,750,"$4,87,500 ","$1,21,875 ",25%
West Gear,OFF-ST-10000991,San Francisco,Women's Street Footwear,$65.00 ,750,"$4,87,500 ","$1,95,000 ",40%
West Gear,FUR-CH-10004287,San Francisco,Women's Athletic Footwear,$60.00 ,650,"$3,90,000 ","$1,36,500 ",35%
West Gear,OFF-AR-10002656,San Francisco,Men's Apparel,$65.00 ,550,"$3,57,500 ","$1,96,625 ",55%
West Gear,OFF-AP-10002518,San Francisco,Women's Apparel,$80.00 ,725,"$5,80,000 ","$1,16,000 ",20%
West Gear,TEC-PH-10003931,San Francisco,Men's Street Footwear,$60.00 ,975,"$5,85,000 ","$2,34,000 ",40%
West Gear,OFF-PA-10000659,San Francisco,Men's Athletic Footwear,$65.00 ,825,"$5,36,250 ","$1,34,063 ",25%
West Gear,OFF-PA-10001144,San Francisco,Women's Street Footwear,$65.00 ,825,"$5,36,250 ","$2,14,500 ",40%
West Gear,FUR-CH-10003817,San Francisco,Women's Athletic Footwear,$60.00 ,700,"$4,20,000 ","$1,47,000 ",35%
West Gear,OFF-AP-10000891,San Francisco,Men's Apparel,$65.00 ,575,"$3,73,750 ","$2,05,563 ",55%
West Gear,OFF-LA-10003148,San Francisco,Women's Apparel,$80.00 ,875,"$7,00,000 ","$1,40,000 ",20%
West Gear,OFF-AP-10002684,San Francisco,Men's Street Footwear,$60.00 ,"1,025","$6,15,000 ","$2,15,250 ",35%
West Gear,FUR-CH-10004698,San Francisco,Men's Athletic Footwear,$65.00 ,875,"$5,68,750 ","$1,13,750 ",20%
West Gear,OFF-SU-10002189,San Francisco,Women's Street Footwear,$65.00 ,825,"$5,36,250 ","$1,87,688 ",35%
West Gear,OFF-AR-10001940,San Francisco,Women's Athletic Footwear,$60.00 ,725,"$4,35,000 ","$1,30,500 ",30%
West Gear,OFF-ST-10003455,San Francisco,Men's Apparel,$65.00 ,775,"$5,03,750 ","$2,51,875 ",50%
West Gear,TEC-AC-10004659,San Francisco,Women's Apparel,$80.00 ,775,"$6,20,000 ","$93,000 ",15%
West Gear,TEC-PH-10003273,San Francisco,Men's Street Footwear,$65.00 ,975,"$6,33,750 ","$2,21,813 ",35%
West Gear,TEC-PH-10004896,San Francisco,Men's Athletic Footwear,$70.00 ,925,"$6,47,500 ","$1,29,500 ",20%
West Gear,TEC-AC-10002345,San Francisco,Women's Street Footwear,$65.00 ,800,"$5,20,000 ","$1,82,000 ",35%
West Gear,OFF-BI-10001890,San Francisco,Women's Athletic Footwear,$65.00 ,750,"$4,87,500 ","$1,46,250 ",30%
West Gear,TEC-AC-10002323,San Francisco,Men's Apparel,$75.00 ,750,"$5,62,500 ","$2,81,250 ",50%
West Gear,OFF-ST-10001328,San Francisco,Women's Apparel,$80.00 ,725,"$5,80,000 ","$87,000 ",15%
West Gear,OFF-PA-10001950,San Francisco,Men's Street Footwear,$55.00 ,925,"$5,08,750 ","$1,52,625 ",30%
West Gear,FUR-BO-10002613,San Francisco,Men's Athletic Footwear,$60.00 ,925,"$5,55,000 ","$83,250 ",15%
West Gear,TEC-PH-10001552,San Francisco,Women's Street Footwear,$55.00 ,775,"$4,26,250 ","$1,27,875 ",30%
West Gear,OFF-PA-10000061,San Francisco,Women's Athletic Footwear,$55.00 ,725,"$3,98,750 ","$99,688 ",25%
West Gear,FUR-BO-10002545,San Francisco,Men's Apparel,$65.00 ,725,"$4,71,250 ","$2,12,063 ",45%
West Gear,OFF-AR-10003514,San Francisco,Women's Apparel,$70.00 ,775,"$5,42,500 ","$54,250 ",10%
West Gear,OFF-EN-10001509,San Francisco,Men's Street Footwear,$55.00 ,875,"$4,81,250 ","$1,44,375 ",30%
West Gear,OFF-AR-10004685,San Francisco,Men's Athletic Footwear,$60.00 ,875,"$5,25,000 ","$78,750 ",15%
West Gear,OFF-AR-10004027,San Francisco,Women's Street Footwear,$55.00 ,700,"$3,85,000 ","$1,15,500 ",30%
West Gear,OFF-ST-10001414,San Francisco,Women's Athletic Footwear,$55.00 ,675,"$3,71,250 ","$92,813 ",25%
West Gear,OFF-BI-10000343,San Francisco,Men's Apparel,$65.00 ,650,"$4,22,500 ","$1,90,125 ",45%
West Gear,OFF-PA-10002749,San Francisco,Women's Apparel,$70.00 ,700,"$4,90,000 ","$49,000 ",10%
West Gear,OFF-PA-10002666,San Francisco,Men's Street Footwear,$55.00 ,875,"$4,81,250 ","$1,44,375 ",30%
West Gear,FUR-TA-10004289,San Francisco,Men's Athletic Footwear,$60.00 ,875,"$5,25,000 ","$78,750 ",15%
West Gear,OFF-AP-10003622,San Francisco,Women's Street Footwear,$55.00 ,725,"$3,98,750 ","$1,19,625 ",30%
West Gear,OFF-AP-10003217,San Francisco,Women's Athletic Footwear,$55.00 ,700,"$3,85,000 ","$96,250 ",25%
West Gear,FUR-FU-10002960,San Francisco,Men's Apparel,$65.00 ,650,"$4,22,500 ","$1,90,125 ",45%
West Gear,TEC-PH-10001918,San Francisco,Women's Apparel,$70.00 ,775,"$5,42,500 ","$54,250 ",10%
West Gear,OFF-ST-10000642,San Francisco,Men's Street Footwear,$55.00 ,975,"$5,36,250 ","$1,60,875 ",30%
West Gear,TEC-PH-10001700,San Francisco,Men's Athletic Footwear,$60.00 ,975,"$5,85,000 ","$87,750 ",15%
West Gear,OFF-BI-10003274,San Francisco,Women's Street Footwear,$55.00 ,775,"$4,26,250 ","$1,27,875 ",30%
West Gear,OFF-FA-10000134,San Francisco,Women's Athletic Footwear,$55.00 ,775,"$4,26,250 ","$1,06,563 ",25%
West Gear,OFF-ST-10001522,San Francisco,Men's Apparel,$65.00 ,700,"$4,55,000 ","$2,04,750 ",45%
West Gear,TEC-AC-10001266,San Francisco,Women's Apparel,$70.00 ,800,"$5,60,000 ","$56,000 ",10%
Kohl's,OFF-LA-10004544,San Francisco,Men's Street Footwear,$35.00 ,700,"$2,45,000 ","$98,000 ",40%
Kohl's,FUR-BO-10004695,San Francisco,Men's Athletic Footwear,$45.00 ,700,"$3,15,000 ","$78,750 ",25%
Kohl's,TEC-PH-10002844,San Francisco,Women's Street Footwear,$45.00 ,700,"$3,15,000 ","$1,26,000 ",40%
Kohl's,TEC-MA-10000864,San Francisco,Women's Athletic Footwear,$45.00 ,550,"$2,47,500 ","$86,625 ",35%
Kohl's,TEC-AC-10000109,Los Angeles,Men's Apparel,$50.00 ,500,"$2,50,000 ","$1,37,500 ",55%
Kohl's,OFF-ST-10001328,Los Angeles,Women's Apparel,$45.00 ,700,"$3,15,000 ","$63,000 ",20%
Kohl's,TEC-PH-10002563,Los Angeles,Men's Street Footwear,$35.00 ,750,"$2,62,500 ","$1,05,000 ",40%
Kohl's,OFF-FA-10000585,Los Angeles,Men's Athletic Footwear,$45.00 ,650,"$2,92,500 ","$73,125 ",25%
Kohl's,OFF-PA-10004000,Los Angeles,Women's Street Footwear,$45.00 ,675,"$3,03,750 ","$1,21,500 ",40%
Kohl's,OFF-BI-10002852,Los Angeles,Women's Athletic Footwear,$45.00 ,525,"$2,36,250 ","$82,688 ",35%
Kohl's,FUR-FU-10000087,Los Angeles,Men's Apparel,$50.00 ,450,"$2,25,000 ","$1,23,750 ",55%
Kohl's,TEC-MA-10001148,Los Angeles,Women's Apparel,$45.00 ,650,"$2,92,500 ","$58,500 ",20%
