Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Usage_Hours,Final_Score,Result,Performance_Level
122,Male,23,10,52,42,9,23.5,Fail,Poor
123,Female,24,23,72,67,8,40.72,Fail,Average
124,Male,20,34,75,45,4,41.26,Fail,Average
125,Male,20,11,86,83,4,39.84,Fail,Poor
126,Female,24,14,73,83,9,31.35,Fail,Poor
127,Female,19,36,98,60,1,52.2,Pass,Average
128,Male,21,38,68,67,2,54.71,Pass,Average
129,Female,18,32,74,79,2,55.88,Pass,Average
130,Female,23,19,70,93,6,48.99,Fail,Average
131,Female,18,34,61,93,4,58.13,Pass,Average
132,Male,24,33,90,40,3,45.91,Fail,Average
133,Male,21,26,82,75,3,37.88,Fail,Poor
134,Male,23,8,99,60,3,42.95,Fail,Average
135,Male,24,24,53,82,6,39.38,Fail,Poor
136,Male,19,36,91,74,8,56.6,Pass,Average
137,Male,20,8,56,52,7,32.77,Fail,Poor
138,Male,18,31,71,88,4,52.82,Pass,Average
139,Male,22,21,82,93,4,56.33,Pass,Average
140,Male,22,16,66,93,2,35.04,Fail,Poor
141,Female,21,26,73,49,1,44.26,Fail,Average
142,Male,19,21,83,92,9,53.03,Pass,Average
143,Female,18,14,77,83,2,37.89,Fail,Poor
144,Female,19,5,92,86,8,42.12,Fail,Average
145,Female,18,26,90,92,9,42.33,Fail,Average
146,Male,21,30,88,49,4,48.09,Fail,Average
147,Male,21,22,71,85,8,48.4,Fail,Average
148,Male,22,18,98,52,9,38.84,Fail,Poor
149,Male,19,33,66,76,5,44.52,Fail,Average
150,Female,23,16,83,77,7,38.38,Fail,Poor
151,Male,22,39,55,63,4,51.18,Pass,Average
152,Male,19,16,95,41,1,31.01,Fail,Poor
153,Male,22,11,55,61,3,35.6,Fail,Poor
154,Male,23,33,83,56,5,51.49,Pass,Average
155,Male,20,15,50,75,3,36.47,Fail,Poor
156,Female,20,37,59,53,7,45.52,Fail,Average
157,Male,20,10,70,49,9,26.93,Fail,Poor
158,Female,20,19,54,74,6,41.85,Fail,Average
159,Male,24,36,51,64,1,58.5,Pass,Average
160,Female,18,15,71,42,7,27.87,Fail,Poor
161,Male,24,27,97,86,3,55.44,Pass,Average
162,Male,24,30,51,77,5,50.44,Pass,Average
163,Female,24,38,59,56,4,44.07,Fail,Average
164,Female,20,38,83,51,5,41.64,Fail,Average
165,Female,23,33,65,93,5,59.73,Pass,Average
166,Male,21,8,97,91,6,36.35,Fail,Poor
167,Female,21,21,88,63,6,48.5,Fail,Average
168,Male,18,39,71,68,8,52.73,Pass,Average
169,Male,20,17,61,82,8,36.72,Fail,Poor
170,Female,20,19,73,64,9,33.74,Fail,Poor
171,Female,20,33,96,75,8,56.53,Pass,Average
172,Male,22,33,89,65,2,46.4,Fail,Average
173,Male,19,15,87,77,1,46.3,Fail,Average
174,Female,22,36,59,40,2,44.85,Fail,Average
175,Female,19,6,84,59,2,33.92,Fail,Poor
176,Female,20,18,98,94,3,58.93,Pass,Average
177,Male,20,24,81,67,7,45.67,Fail,Average
178,Male,22,26,56,55,2,35.52,Fail,Poor
179,Male,22,15,70,86,1,39.95,Fail,Poor
180,Male,19,31,69,56,6,44.36,Fail,Average
181,Male,21,7,75,79,9,39.68,Fail,Poor
182,Male,19,21,53,67,3,46.22,Fail,Average
183,Female,22,32,95,51,6,43.22,Fail,Average
184,Male,23,33,71,66,3,55.08,Pass,Average
185,Male,22,25,64,93,1,51.76,Pass,Average
186,Male,23,20,89,92,5,52.76,Pass,Average
187,Female,18,24,70,81,4,47.58,Fail,Average
188,Male,22,10,64,86,7,42.6,Fail,Average
189,Male,18,23,71,69,6,45.94,Fail,Average
190,Female,21,9,77,80,7,40.73,Fail,Average
191,Male,19,7,63,73,5,31.69,Fail,Poor
192,Male,23,5,76,76,4,28.4,Fail,Poor
193,Male,19,19,90,45,7,36.86,Fail,Poor
194,Male,18,38,89,46,7,53.81,Pass,Average
195,Male,23,39,77,71,6,57.35,Pass,Average
196,Female,19,29,75,71,8,50.23,Pass,Average
197,Female,22,28,98,92,4,48.48,Fail,Average
198,Female,20,16,51,64,5,33.85,Fail,Poor
199,Male,18,22,74,72,4,42.58,Fail,Average
200,Male,19,19,52,94,1,43.8,Fail,Average
201,Male,18,20,57,46,8,30.02,Fail,Poor
202,Female,24,31,93,91,1,53.93,Pass,Average
203,Male,18,12,82,51,5,26.26,Fail,Poor
204,Male,23,29,91,55,6,43.5,Fail,Average
205,Female,24,21,84,55,6,36.81,Fail,Poor
206,Male,23,33,55,82,5,51.37,Pass,Average
207,Female,20,12,88,92,3,43.89,Fail,Average
208,Female,24,19,72,75,5,45.66,Fail,Average
209,Female,22,31,74,52,8,41.7,Fail,Average
210,Male,18,11,99,46,2,33.48,Fail,Poor
211,Male,19,7,92,75,6,40.22,Fail,Average
212,Male,21,33,68,86,9,44.16,Fail,Average
213,Male,18,28,54,90,8,46.62,Fail,Average
214,Male,18,7,60,48,8,28.46,Fail,Poor
215,Male,20,24,61,71,8,44.76,Fail,Average
216,Male,22,19,59,50,7,36.79,Fail,Poor
217,Female,21,29,57,47,8,42.47,Fail,Average
218,Male,24,34,73,72,6,45.1,Fail,Average
219,Female,24,18,77,62,2,34.77,Fail,Poor
220,Male,24,11,90,64,2,39.97,Fail,Poor
221,Male,23,21,85,47,8,41.11,Fail,Average
222,Male,23,24,86,84,1,55.55,Pass,Average
223,Female,19,13,70,61,6,32.27,Fail,Poor
224,Female,21,26,57,43,6,40.44,Fail,Average
225,Female,24,6,58,79,4,24.96,Fail,Poor
226,Female,23,28,96,42,3,48.69,Fail,Average
227,Male,19,12,64,68,3,39.75,Fail,Poor
228,Female,22,15,97,80,1,50.41,Pass,Average
229,Male,19,17,95,68,3,38.32,Fail,Poor
230,Male,23,21,89,73,4,50.22,Pass,Average
231,Female,20,12,67,73,5,44.37,Fail,Average
232,Female,20,25,91,67,3,46.36,Fail,Average
233,Female,24,22,69,52,6,31.73,Fail,Poor
234,Female,20,34,55,54,5,43.79,Fail,Average
235,Female,24,22,61,62,3,38.83,Fail,Poor
236,Female,24,35,51,83,6,52.58,Pass,Average
237,Female,23,36,56,65,6,44.97,Fail,Average
238,Female,20,15,65,43,8,35.11,Fail,Poor
239,Male,24,29,52,65,2,38.35,Fail,Poor
240,Female,21,37,94,79,1,52.17,Pass,Average
241,Female,22,12,52,48,4,27.9,Fail,Poor
242,Male,19,15,76,94,7,45.99,Fail,Average
243,Female,19,26,99,44,3,40.66,Fail,Average
244,Male,23,28,92,71,3,45.84,Fail,Average
245,Male,20,21,89,59,5,42.63,Fail,Average
246,Female,20,16,87,89,5,53.99,Pass,Average
247,Male,24,36,82,50,3,46.39,Fail,Average
248,Male,18,19,77,54,9,35.73,Fail,Poor
249,Male,24,20,50,71,4,41.04,Fail,Average
250,Male,22,26,57,67,3,48.33,Fail,Average
251,Female,21,32,86,61,2,53.12,Pass,Average
252,Male,19,24,81,80,9,51.27,Pass,Average
253,Female,24,37,97,56,4,46.08,Fail,Average
254,Male,18,14,92,65,3,37.75,Fail,Poor
255,Male,18,36,86,83,7,49.95,Fail,Average
256,Male,24,37,53,46,8,40.39,Fail,Average
257,Male,23,6,79,81,2,37.48,Fail,Poor
258,Female,19,37,55,65,7,51.33,Pass,Average
259,Female,23,37,95,64,5,60.68,Pass,Good
260,Male,21,17,68,49,5,36.38,Fail,Poor
261,Male,18,34,81,84,3,48.75,Fail,Average
262,Female,18,37,58,58,5,44.98,Fail,Average
263,Male,22,17,61,50,2,25.57,Fail,Poor
264,Male,21,30,60,52,4,42.08,Fail,Average
265,Male,18,26,95,92,6,63.18,Pass,Good
266,Female,21,6,65,47,1,26.65,Fail,Poor
267,Female,19,30,50,79,4,59.26,Pass,Average
268,Female,20,19,94,43,6,36.89,Fail,Poor
269,Male,18,38,70,86,9,51.88,Pass,Average
270,Male,22,15,79,70,2,34.91,Fail,Poor
271,Female,19,7,62,67,7,28.63,Fail,Poor
272,Female,24,10,83,50,6,36.39,Fail,Poor
273,Female,21,13,53,82,2,36.64,Fail,Poor
274,Female,24,10,77,40,8,34.42,Fail,Poor
275,Male,23,13,87,88,7,42.25,Fail,Average
276,Female,19,35,80,86,5,58.51,Pass,Average
277,Male,24,36,76,91,5,56.19,Pass,Average
278,Female,18,16,54,77,7,46.12,Fail,Average
279,Male,21,12,74,63,9,38.3,Fail,Poor
280,Female,20,12,52,93,9,34.45,Fail,Poor
281,Female,19,32,82,86,9,52.58,Pass,Average
282,Female,18,24,53,70,6,47.17,Fail,Average
283,Female,22,11,74,80,6,32.24,Fail,Poor
284,Male,23,15,69,85,3,35.46,Fail,Poor
285,Female,21,24,83,89,1,59.32,Pass,Average
286,Male,19,20,75,65,7,37.29,Fail,Poor
287,Male,19,8,54,88,4,28.35,Fail,Poor
288,Male,20,10,84,89,1,39.41,Fail,Poor
289,Male,20,26,77,44,8,37.18,Fail,Poor
290,Female,22,30,78,59,6,44.34,Fail,Average
291,Male,23,7,58,91,6,39.65,Fail,Poor
292,Male,22,18,87,80,2,41.62,Fail,Average
293,Male,18,15,99,50,1,36.37,Fail,Poor
294,Female,18,22,55,93,2,47.93,Fail,Average
295,Female,22,16,68,72,4,37.32,Fail,Poor
296,Female,23,27,93,89,2,51.9,Pass,Average
297,Female,22,16,60,77,1,36.78,Fail,Poor
298,Male,23,17,51,66,7,31.49,Fail,Poor
299,Male,23,29,96,73,8,59.53,Pass,Average
300,Female,24,23,93,54,6,39.69,Fail,Poor
301,Male,21,12,93,71,4,37.36,Fail,Poor
302,Male,23,33,58,60,6,51.13,Pass,Average
303,Male,20,36,70,85,3,61.77,Pass,Good
304,Female,23,22,73,44,8,37.19,Fail,Poor
305,Female,23,10,83,45,2,34.61,Fail,Poor
306,Male,23,22,71,77,5,44.76,Fail,Average
307,Female,24,23,52,61,1,38.4,Fail,Poor
308,Female,24,26,61,57,6,40.88,Fail,Average
309,Female,18,36,77,53,2,45.24,Fail,Average
310,Female,24,7,79,49,4,28.98,Fail,Poor
311,Female,20,32,75,85,6,50.27,Pass,Average
312,Male,20,14,97,52,8,39.26,Fail,Poor
313,Female,24,39,70,70,8,55.89,Pass,Average
314,Male,22,33,77,69,6,46.75,Fail,Average
315,Male,21,19,75,42,4,31.49,Fail,Poor
316,Female,24,37,82,69,8,51.32,Pass,Average
317,Male,23,11,70,45,8,26.48,Fail,Poor
318,Male,19,16,84,68,1,40.73,Fail,Average
319,Male,21,34,83,47,4,45.66,Fail,Average
320,Female,21,25,90,83,4,54.27,Pass,Average
321,Female,20,35,96,84,7,51.12,Pass,Average
322,Male,21,28,67,82,7,49.57,Fail,Average
323,Female,24,24,60,83,8,48.57,Fail,Average
324,Female,23,8,72,72,5,38.42,Fail,Poor
325,Female,23,32,97,56,7,50.0,Pass,Average
326,Female,18,24,71,87,8,47.6,Fail,Average
327,Male,23,28,66,50,9,49.22,Fail,Average
328,Male,23,36,54,52,3,35.61,Fail,Poor
329,Female,20,38,93,89,3,64.44,Pass,Good
330,Female,23,6,60,50,4,23.34,Fail,Poor
331,Male,18,19,79,70,5,39.89,Fail,Poor
332,Male,19,38,64,67,1,53.5,Pass,Average
333,Female,24,10,76,83,7,37.53,Fail,Poor
334,Male,20,16,84,45,9,33.85,Fail,Poor
335,Female,19,7,82,80,8,40.57,Fail,Average
336,Female,20,22,69,55,5,32.7,Fail,Poor
337,Male,22,25,65,43,4,39.35,Fail,Poor
338,Male,21,19,83,74,7,37.52,Fail,Poor
339,Female,22,37,51,87,5,51.51,Pass,Average
340,Female,23,39,84,65,7,48.77,Fail,Average
341,Male,19,30,89,51,1,57.35,Pass,Average
342,Female,23,12,77,50,1,34.71,Fail,Poor
343,Male,21,34,96,76,3,64.48,Pass,Good
344,Female,20,27,88,64,2,53.43,Pass,Average
345,Male,21,18,55,57,2,31.74,Fail,Poor
346,Male,18,18,58,58,7,40.03,Fail,Average
347,Male,21,6,69,62,2,29.02,Fail,Poor
348,Female,18,9,50,94,4,43.15,Fail,Average
349,Female,21,18,57,77,2,38.56,Fail,Poor
350,Male,24,29,72,93,6,47.47,Fail,Average
351,Female,18,24,52,57,8,40.45,Fail,Average
352,Male,19,6,53,65,4,23.27,Fail,Poor
353,Male,23,10,74,45,5,30.89,Fail,Poor
354,Female,23,21,96,43,4,36.85,Fail,Poor
355,Female,22,29,87,83,3,54.88,Pass,Average
356,Male,23,32,64,90,5,48.29,Fail,Average
357,Female,20,6,70,68,9,28.81,Fail,Poor
358,Female,24,39,84,73,8,63.99,Pass,Good
359,Male,21,9,95,56,8,34.42,Fail,Poor
360,Male,22,5,63,82,8,32.47,Fail,Poor
361,Female,20,16,85,82,8,45.31,Fail,Average
362,Male,20,27,61,92,7,56.55,Pass,Average
363,Male,18,35,66,55,8,42.88,Fail,Average
364,Female,23,15,88,41,8,35.27,Fail,Poor
365,Male,19,14,58,73,8,35.91,Fail,Poor
366,Male,19,7,84,94,7,35.14,Fail,Poor
367,Female,22,18,62,47,1,37.95,Fail,Poor
368,Female,24,20,64,52,4,32.4,Fail,Poor
369,Male,19,14,67,81,4,38.38,Fail,Poor
370,Male,21,33,82,47,5,41.49,Fail,Average
371,Female,19,14,55,69,6,30.9,Fail,Poor
372,Female,22,16,76,71,4,43.71,Fail,Average
373,Female,19,34,72,75,2,49.74,Fail,Average
374,Female,21,5,76,86,6,26.83,Fail,Poor
375,Male,18,9,83,69,8,32.55,Fail,Poor
376,Female,24,24,95,40,8,32.96,Fail,Poor
377,Female,22,12,87,82,7,34.21,Fail,Poor
378,Male,18,16,63,78,6,40.47,Fail,Average
379,Female,18,5,85,56,2,33.04,Fail,Poor
380,Male,18,24,57,59,7,38.56,Fail,Poor
381,Female,20,32,84,63,5,52.28,Pass,Average
382,Female,24,16,68,89,6,47.94,Fail,Average
383,Female,23,32,79,61,8,37.51,Fail,Poor
384,Male,24,19,63,68,8,44.84,Fail,Average
385,Male,20,10,69,61,3,36.95,Fail,Poor
386,Female,23,24,98,83,7,58.63,Pass,Average
387,Male,24,18,74,48,1,32.56,Fail,Poor
388,Male,18,6,89,76,1,35.24,Fail,Poor
389,Male,22,13,73,49,7,37.03,Fail,Poor
390,Male,23,24,63,75,9,51.9,Pass,Average
391,Male,21,30,75,76,7,50.41,Pass,Average
392,Male,21,33,87,67,5,43.96,Fail,Average
393,Female,19,5,72,67,8,30.83,Fail,Poor
394,Female,23,39,71,81,2,54.56,Pass,Average
395,Male,22,10,97,82,9,48.44,Fail,Average
396,Female,20,9,68,60,6,28.08,Fail,Poor
397,Female,18,37,95,63,9,54.21,Pass,Average
398,Female,19,18,52,81,2,43.94,Fail,Average
399,Female,21,16,91,79,3,40.41,Fail,Average
400,Male,20,24,68,41,8,39.2,Fail,Poor
401,Female,20,28,58,94,1,49.05,Fail,Average
402,Female,18,38,77,47,7,45.67,Fail,Average
403,Male,23,29,69,87,7,50.3,Pass,Average
404,Male,21,33,94,66,1,50.26,Pass,Average
405,Female,22,35,56,61,9,49.44,Fail,Average
406,Female,20,27,63,76,8,40.35,Fail,Average
407,Female,18,24,58,66,4,35.02,Fail,Poor
408,Female,22,27,68,68,5,40.47,Fail,Average
409,Female,23,20,96,42,2,35.53,Fail,Poor
410,Female,21,12,63,83,9,46.41,Fail,Average
411,Male,23,25,87,52,6,39.13,Fail,Poor
412,Female,20,5,85,84,3,37.62,Fail,Poor
413,Female,22,12,89,49,7,26.24,Fail,Poor
414,Male,22,33,66,75,9,55.65,Pass,Average
415,Male,22,36,79,48,3,51.06,Pass,Average
416,Male,20,9,58,93,2,35.62,Fail,Poor
417,Male,20,26,82,94,7,53.22,Pass,Average
418,Female,23,38,74,66,7,49.19,Fail,Average
419,Female,19,5,63,73,4,28.5,Fail,Poor
420,Female,23,30,60,90,9,50.33,Pass,Average
421,Female,21,14,84,40,8,28.31,Fail,Poor
422,Female,18,34,90,71,1,53.34,Pass,Average
423,Female,22,22,63,64,1,40.01,Fail,Average
424,Male,19,21,79,68,5,38.83,Fail,Poor
425,Female,18,30,90,46,6,46.18,Fail,Average
426,Male,19,12,53,88,3,32.87,Fail,Poor
427,Male,24,16,53,42,9,32.5,Fail,Poor
428,Female,23,31,77,59,6,51.35,Pass,Average
429,Male,20,12,57,59,4,28.43,Fail,Poor
430,Female,22,29,51,92,7,46.06,Fail,Average
431,Male,23,8,90,69,8,38.14,Fail,Poor
432,Female,18,37,95,74,9,70.48,Pass,Good
433,Male,24,5,71,74,6,28.52,Fail,Poor
434,Female,24,23,90,88,6,51.09,Pass,Average
435,Female,24,35,65,78,8,51.37,Pass,Average
436,Female,18,20,78,66,5,37.65,Fail,Poor
437,Female,18,18,98,65,3,41.82,Fail,Average
438,Female,18,9,97,53,3,29.11,Fail,Poor
439,Male,18,30,79,56,6,46.8,Fail,Average
440,Male,24,32,61,57,2,43.7,Fail,Average
441,Male,24,6,84,84,6,38.11,Fail,Poor
442,Female,19,10,60,91,6,41.25,Fail,Average
443,Male,23,13,95,68,8,45.14,Fail,Average
444,Female,22,37,99,59,7,47.26,Fail,Average
445,Female,20,29,70,92,8,46.1,Fail,Average
446,Male,24,17,70,66,9,45.01,Fail,Average
447,Male,20,13,54,57,6,28.93,Fail,Poor
448,Female,23,17,97,43,3,33.45,Fail,Poor
449,Male,23,35,69,40,3,46.48,Fail,Average
450,Female,20,15,86,89,1,44.45,Fail,Average
451,Female,24,8,52,40,5,25.68,Fail,Poor
452,Female,20,38,93,65,4,57.56,Pass,Average
453,Female,19,8,82,84,9,41.36,Fail,Average
454,Female,21,23,58,59,9,40.82,Fail,Average
455,Male,24,10,58,91,5,44.58,Fail,Average
456,Male,24,38,53,62,4,48.95,Fail,Average
457,Female,22,22,84,49,7,41.96,Fail,Average
458,Female,18,17,66,50,6,32.69,Fail,Poor
459,Male,21,27,83,80,4,48.49,Fail,Average
460,Male,23,23,73,80,2,37.21,Fail,Poor
461,Female,24,15,81,44,1,35.21,Fail,Poor
462,Male,20,5,50,40,4,23.86,Fail,Poor
463,Female,21,28,57,56,4,40.41,Fail,Average
464,Male,22,11,94,61,1,33.83,Fail,Poor
465,Female,23,29,72,73,6,43.89,Fail,Average
466,Male,18,25,96,84,4,60.0,Pass,Average
467,Female,18,19,89,80,1,47.63,Fail,Average
468,Male,22,5,61,68,1,27.01,Fail,Poor
469,Male,22,16,61,43,1,28.25,Fail,Poor
470,Female,20,11,95,44,8,31.52,Fail,Poor
471,Male,24,19,96,50,8,44.03,Fail,Average
472,Female,18,25,64,90,2,49.44,Fail,Average
473,Male,23,23,90,60,7,39.77,Fail,Poor
474,Female,21,33,68,74,8,53.75,Pass,Average
475,Male,23,29,75,51,8,43.34,Fail,Average
476,Female,19,37,78,65,7,55.56,Pass,Average
477,Male,19,36,71,90,5,57.25,Pass,Average
478,Female,22,39,89,58,1,56.18,Pass,Average
479,Male,20,30,70,84,9,52.36,Pass,Average
480,Female,19,15,87,46,7,36.65,Fail,Poor
481,Female,18,39,69,86,2,69.69,Pass,Good
482,Female,23,12,78,94,6,39.39,Fail,Poor
483,Male,23,18,53,46,2,31.08,Fail,Poor
484,Female,22,14,56,65,1,35.76,Fail,Poor
485,Male,24,6,77,79,7,34.43,Fail,Poor
486,Female,24,13,77,44,2,24.16,Fail,Poor
487,Male,21,7,53,60,2,22.63,Fail,Poor
488,Female,22,25,71,53,5,43.47,Fail,Average
489,Male,21,30,61,43,5,43.14,Fail,Average
490,Male,24,12,94,62,7,35.36,Fail,Poor
491,Female,22,6,52,81,1,31.94,Fail,Poor
492,Male,22,10,71,59,8,33.3,Fail,Poor
493,Male,22,32,93,54,3,45.41,Fail,Average
494,Female,24,33,51,89,4,55.52,Pass,Average
495,Male,21,30,73,91,9,52.28,Pass,Average
496,Male,21,29,83,84,4,57.35,Pass,Average
497,Male,22,16,76,68,5,41.62,Fail,Average
498,Female,19,9,90,47,7,32.32,Fail,Poor
499,Male,20,38,50,80,4,54.5,Pass,Average
500,Female,24,19,57,87,1,44.87,Fail,Average
501,Male,20,19,72,58,9,39.76,Fail,Poor
502,Male,20,27,87,87,4,52.23,Pass,Average
503,Male,21,10,55,78,9,33.42,Fail,Poor
504,Female,21,25,71,85,6,42.46,Fail,Average
505,Male,19,27,74,67,1,48.1,Fail,Average
506,Male,20,20,67,85,3,45.3,Fail,Average
507,Female,20,19,66,66,2,36.22,Fail,Poor
508,Male,22,29,61,43,9,39.74,Fail,Poor
509,Female,21,15,55,54,1,35.04,Fail,Poor
510,Female,20,19,75,74,9,47.07,Fail,Average
511,Male,23,8,76,76,9,27.49,Fail,Poor
512,Female,19,25,57,40,8,34.91,Fail,Poor
513,Male,23,17,68,42,8,36.85,Fail,Poor
514,Female,23,26,91,86,1,57.99,Pass,Average
515,Female,24,23,50,63,8,40.41,Fail,Average
516,Male,24,38,78,66,3,52.04,Pass,Average
517,Female,19,18,94,79,7,44.93,Fail,Average
518,Female,23,8,98,75,1,36.1,Fail,Poor
519,Female,20,31,84,73,1,54.23,Pass,Average
520,Female,21,33,89,68,5,56.21,Pass,Average
521,Female,19,32,63,63,5,53.25,Pass,Average
522,Male,22,39,84,63,8,54.49,Pass,Average
523,Female,23,12,97,81,7,37.81,Fail,Poor
524,Male,19,20,94,43,8,43.9,Fail,Average
