Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Usage_Hours,Final_Score,Result,Age_scaled,StudyHours_scaled,Attendance_scaled,PreviousGrade_scaled,InternetUsage_scaled,FinalScore_scaled
31,1,18,33,79.0,83.0,9,54.4,1,-1.473504007852335,1.0833518578556902,0.2918270157382223,1.0033003627733037,1.5487572467634936,1.268308709848234
32,1,19,14,94.0,43.0,6,34.32,0,-0.9831532564871651,-0.7984990563204039,1.3301109901389196,-1.5139181350584818,0.37367587592624496,-0.8767735169781844
33,0,24,38,55.0,75.0,9,48.84,0,1.4686005003386842,1.5785757826388729,-1.3694273433028936,0.49985666320694666,1.5487572467634936,0.6743516789142262
34,0,18,30,66.0,57.0,5,35.08,0,-1.473504007852335,0.7862175029857806,-0.6080190954090489,-0.6328916608173568,-0.018017914352837915,-0.7955851458433202
35,0,20,7,94.0,54.0,7,28.49,0,-0.49280250512199525,-1.4918125510168596,1.3301109901389196,-0.8216830481547407,0.7653696662053279,-1.4995737850258948
36,1,22,10,68.0,90.0,4,36.84,0,0.4878989976083445,-1.19467819614695,-0.46958123215562253,1.4438135998938664,-0.4097117046319208,-0.6075699705836335
37,0,19,9,91.0,52.0,7,27.64,0,-0.9831532564871651,-1.2937229811035864,1.1224541952587803,-0.94754397304633,0.7653696662053279,-1.5903765685319928
38,1,24,9,84.0,58.0,1,36.73,0,1.4686005003386842,-1.2937229811035864,0.6379216738717881,-0.5699611983715622,-1.5847930754691695,-0.6193209190373646
39,1,18,27,95.0,88.0,7,47.79,0,-1.473504007852335,0.48908314811587106,1.399329921765633,1.317952675002277,0.7653696662053279,0.5621835345831631
40,1,23,13,75.0,45.0,8,30.29,0,0.9782497489735144,-0.8975438412770403,0.014951289231369626,-1.3880572101668924,1.1570634564844107,-1.3072855376012158
41,1,20,39,54.0,87.0,5,45.4,0,-0.49280250512199525,1.6776205675955094,-1.4386462749296067,1.2550222125564823,-0.018017914352837915,0.3068674727248393
42,1,20,24,78.0,51.0,2,36.28,0,-0.49280250512199525,0.19194879324596148,0.22260808411150912,-1.0104744354921247,-1.1930992851900866,-0.6673929808935338
43,0,18,39,86.0,90.0,5,49.85,0,-1.473504007852335,1.6776205675955094,0.7763595371252144,1.4438135998938664,-0.018017914352837915,0.7822467510802958
44,0,22,22,69.0,76.0,6,49.64,0,0.4878989976083445,-0.006140776667311581,-0.40036230052890937,0.5627871256527414,0.37367587592624496,0.7598131222140833
45,0,18,21,98.0,56.0,2,33.46,0,-1.473504007852335,-0.10518556162394811,1.6069867166457723,-0.6958221232631515,-1.1930992851900866,-0.9686445685255309
46,0,19,28,70.0,62.0,6,45.18,0,-0.9831532564871651,0.5881279330725077,-0.3311433689021962,-0.31823934858838365,0.37367587592624496,0.2833655758173786
47,0,18,7,59.0,65.0,6,30.45,0,-1.473504007852335,-1.4918125510168596,-1.092551616796041,-0.12944796125099972,0.37367587592624496,-1.2901932489412442
48,1,20,36,54.0,68.0,1,57.06,1,-0.49280250512199525,1.3804862127256,-1.4386462749296067,0.05934342608638421,-1.5847930754691695,1.55246800882026
49,0,24,39,85.0,72.0,1,61.84,1,1.4686005003386842,1.6776205675955094,0.7071406054985012,0.3110652758695628,-1.5847930754691695,2.0631001325369076
50,0,18,17,55.0,66.0,3,31.96,0,-1.473504007852335,-0.5013647014504943,-1.3694273433028936,-0.06651749880520506,-0.8014054949110037,-1.1288847747127635
51,1,22,29,75.0,64.0,3,41.97,0,0.4878989976083445,0.6871727180291441,0.014951289231369626,-0.19237842369679434,-0.8014054949110037,-0.05954846542329896
52,0,24,13,53.0,94.0,4,38.63,0,1.4686005003386842,-0.8975438412770403,-1.50786520655632,1.6955354496770447,-0.4097117046319208,-0.41634999120020283
53,1,23,8,88.0,49.0,2,30.3,0,0.9782497489735144,-1.3927677660602231,0.9147974003786408,-1.1363353603837139,-1.1930992851900866,-1.3062172695599674
54,0,21,18,88.0,86.0,9,46.48,0,-0.0024517537568253616,-0.40231991649385773,0.9147974003786408,1.1920917501106878,1.5487572467634936,0.42224042117964644
55,1,18,38,99.0,62.0,7,50.4,1,-1.473504007852335,1.5785757826388729,1.6762056482724856,-0.31823934858838365,0.7653696662053279,0.8410014933489475
56,0,22,15,84.0,60.0,7,45.03,0,0.4878989976083445,-0.6994542713637673,0.6379216738717881,-0.4441002734799729,0.7653696662053279,0.2673415551986555
57,0,24,7,50.0,60.0,6,22.79,0,1.4686005003386842,-1.4918125510168596,-1.7155220014364594,-0.4441002734799729,0.37367587592624496,-2.108486568537378
58,1,22,32,73.0,82.0,3,61.55,1,0.4878989976083445,0.9843070728990537,-0.1234865740220567,0.9403699003275091,-0.8014054949110037,2.0321203593407087
59,1,23,33,85.0,52.0,6,47.66,0,0.9782497489735144,1.0833518578556902,0.7071406054985012,-0.94754397304633,0.37367587592624496,0.5482960500469359
60,1,20,13,55.0,76.0,8,32.94,0,-0.49280250512199525,-0.8975438412770403,-1.3694273433028936,0.5627871256527414,1.1570634564844107,-1.0241945066704385
61,1,22,7,90.0,72.0,8,36.19,0,0.4878989976083445,-1.4918125510168596,1.053235263632067,0.3110652758695628,1.1570634564844107,-0.6770073932647682
62,1,24,29,95.0,63.0,9,45.42,0,1.4686005003386842,0.6871727180291441,1.399329921765633,-0.255308886142589,1.5487572467634936,0.30900400880733603
63,1,22,38,93.0,83.0,1,64.41,1,0.4878989976083445,1.5785757826388729,1.2608920585122065,1.0033003627733037,-1.5847930754691695,2.3376450191376983
64,1,22,16,80.0,50.0,1,39.95,0,0.4878989976083445,-0.6004094864071308,0.36104594736493545,-1.0734048979379194,-1.5847930754691695,-0.2753386097554383
65,1,22,13,69.0,56.0,3,37.49,0,0.4878989976083445,-0.8975438412770403,-0.40036230052890937,-0.6958221232631515,-0.8014054949110037,-0.5381325479024995
66,0,19,19,73.0,43.0,3,42.09,0,-0.9831532564871651,-0.3032751315372212,-0.1234865740220567,-1.5139181350584818,-0.8014054949110037,-0.04672924892831987
67,0,19,29,74.0,86.0,8,53.65,1,-0.9831532564871651,0.6871727180291441,-0.054267642395343534,1.1920917501106878,1.1570634564844107,1.188188606754618
68,1,20,9,85.0,64.0,1,32.67,0,-0.49280250512199525,-1.2937229811035864,0.7071406054985012,-0.19237842369679434,-1.5847930754691695,-1.0530377437841398
69,0,18,15,70.0,69.0,2,34.1,0,-1.473504007852335,-0.6994542713637673,-0.3311433689021962,0.12227388853217885,-1.1930992851900866,-0.900275413885645
70,0,22,38,79.0,48.0,2,45.75,0,0.4878989976083445,1.5785757826388729,0.2918270157382223,-1.1992658228295086,-1.1930992851900866,0.34425685416852697
71,0,23,28,73.0,60.0,3,40.35,0,0.9782497489735144,0.5881279330725077,-0.1234865740220567,-0.4441002734799729,-0.8014054949110037,-0.23260788810550975
72,0,18,19,93.0,59.0,6,35.88,0,-1.473504007852335,-0.3032751315372212,1.2608920585122065,-0.5070307359257675,0.37367587592624496,-0.7101237025434624
73,1,23,12,91.0,58.0,1,37.74,0,0.9782497489735144,-0.9965886262336769,1.1224541952587803,-0.5699611983715622,-1.5847930754691695,-0.5114258468712942
74,0,18,9,79.0,58.0,2,34.31,0,-1.473504007852335,-1.2937229811035864,0.2918270157382223,-0.5699611983715622,-1.1930992851900866,-0.8778417850194323
75,1,20,30,71.0,51.0,1,44.24,0,-0.49280250512199525,0.7862175029857806,-0.26192443727548304,-1.0104744354921247,-1.5847930754691695,0.1829483799400465
76,0,22,22,77.0,76.0,5,52.19,1,0.4878989976083445,-0.006140776667311581,0.15338915248479595,0.5627871256527414,-0.018017914352837915,1.0322214727323782
77,0,22,10,56.0,81.0,7,31.15,0,0.4878989976083445,-1.19467819614695,-1.3002084116761805,0.8774394378817145,0.7653696662053279,-1.2154144860538691
78,0,21,17,84.0,56.0,8,40.96,0,-0.0024517537568253616,-0.5013647014504943,0.6379216738717881,-0.6958221232631515,1.1570634564844107,-0.1674435375893686
79,1,23,32,77.0,76.0,1,52.06,1,0.9782497489735144,0.9843070728990537,0.15338915248479595,0.5627871256527414,-1.5847930754691695,1.0183339881961517
80,0,18,9,63.0,93.0,7,35.89,0,-1.473504007852335,-1.2937229811035864,-0.8156758902891883,1.6326049872312502,0.7653696662053279,-0.7090554345022144
81,1,18,17,59.0,87.0,5,40.35,0,-1.473504007852335,-0.5013647014504943,-1.092551616796041,1.2550222125564823,-0.018017914352837915,-0.23260788810550975
82,0,19,21,65.0,78.0,1,32.24,0,-0.9831532564871651,-0.10518556162394811,-0.677238027035762,0.6886480505443306,-1.5847930754691695,-1.0989732695578132
83,1,21,36,65.0,67.0,3,48.64,0,-0.0024517537568253616,1.3804862127256,-0.677238027035762,-0.0035870363594104303,-0.8014054949110037,0.6529863180892616
84,0,24,33,80.0,80.0,7,47.67,0,1.4686005003386842,1.0833518578556902,0.36104594736493545,0.8145089754359199,0.7653696662053279,0.5493643180881848
85,1,24,7,91.0,74.0,1,34.12,0,1.4686005003386842,-1.4918125510168596,1.1224541952587803,0.4369262007611521,-1.5847930754691695,-0.898138877803149
86,1,19,38,74.0,86.0,7,54.32,1,-0.9831532564871651,1.5785757826388729,-0.054267642395343534,1.1920917501106878,0.7653696662053279,1.2597625655182485
87,0,19,31,62.0,87.0,5,56.44,1,-0.9831532564871651,0.8852622879424172,-0.8848948219159015,1.2550222125564823,-0.018017914352837915,1.48623539026287
88,1,19,17,55.0,57.0,1,39.12,0,-0.9831532564871651,-0.5013647014504943,-1.3694273433028936,-0.6328916608173568,-1.5847930754691695,-0.3640048571790408
89,0,23,37,93.0,53.0,1,42.64,0,0.9782497489735144,1.4795309976822364,1.2608920585122065,-0.8846135106005354,-1.5847930754691695,0.012025493340331725
90,0,23,10,58.0,74.0,1,33.62,0,0.9782497489735144,-1.19467819614695,-1.161770548422754,0.4369262007611521,-1.5847930754691695,-0.9515522798655598
91,0,20,28,94.0,83.0,9,50.98,1,-0.49280250512199525,0.5881279330725077,1.3301109901389196,1.0033003627733037,1.5487572467634936,0.9029610397413438
92,0,20,23,85.0,80.0,3,37.78,0,-0.49280250512199525,0.09290400828932495,0.7071406054985012,0.8145089754359199,-0.8014054949110037,-0.5071527747063014
93,0,19,20,92.0,46.0,5,37.8,0,-0.9831532564871651,-0.20423034658058464,1.1916731268854934,-1.325126747721098,-0.018017914352837915,-0.5050162386238054
94,0,21,32,69.0,80.0,9,55.48,1,-0.0024517537568253616,0.9843070728990537,-0.40036230052890937,0.8145089754359199,1.5487572467634936,1.3836816583030411
95,0,18,37,67.0,52.0,6,47.72,0,-1.473504007852335,1.4795309976822364,-0.5388001637823356,-0.94754397304633,0.37367587592624496,0.5547056582944255
96,0,23,17,92.0,57.0,9,38.54,0,0.9782497489735144,-0.5013647014504943,1.1916731268854934,-0.6328916608173568,1.5487572467634936,-0.42596440357143717
97,0,21,29,70.0,76.0,8,43.94,0,-0.0024517537568253616,0.6871727180291441,-0.3311433689021962,0.5627871256527414,1.1570634564844107,0.15090033870259956
98,0,22,31,53.0,52.0,8,42.76,0,0.4878989976083445,0.8852622879424172,-1.50786520655632,-0.94754397304633,1.1570634564844107,0.02484470983531005
99,0,23,11,99.0,75.0,1,36.53,0,0.9782497489735144,-1.0956334111903134,1.6762056482724856,0.49985666320694666,-1.5847930754691695,-0.6406862798623285
100,1,23,9,82.0,70.0,9,45.04,0,0.9782497489735144,-1.2937229811035864,0.4994838106183618,0.1852043509779735,1.5487572467634936,0.26840982323990353
101,1,20,35,76.0,41.0,6,43.86,0,-0.49280250512199525,1.2814414277689634,0.08417022085808279,-1.639779059950071,0.37367587592624496,0.142354194372614
102,0,18,27,56.0,55.0,9,36.9,0,-1.473504007852335,0.48908314811587106,-1.3002084116761805,-0.7587525857089461,1.5487572467634936,-0.6011603623361447
103,0,18,14,55.0,48.0,3,32.06,0,-1.473504007852335,-0.7984990563204039,-1.3694273433028936,-1.1992658228295086,-0.8014054949110037,-1.118202094300281
104,0,24,36,64.0,48.0,3,49.05,0,1.4686005003386842,1.3804862127256,-0.7464569586624752,-1.1992658228295086,-0.8014054949110037,0.6967853077804381
105,0,24,34,67.0,77.0,6,52.41,1,1.4686005003386842,1.1823966428123267,-0.5388001637823356,0.625717588098536,0.37367587592624496,1.0557233696398387
106,0,24,35,81.0,50.0,9,49.35,0,1.4686005003386842,1.2814414277689634,0.4302648789916486,-1.0734048979379194,1.5487572467634936,0.728833349017885
107,0,24,22,60.0,93.0,7,41.55,0,1.4686005003386842,-0.006140776667311581,-1.0233326851693278,1.6326049872312502,0.7653696662053279,-0.10441572315572423
108,0,22,6,69.0,61.0,3,29.32,0,0.4878989976083445,-1.590857335973496,-0.40036230052890937,-0.38116981103417824,-0.8014054949110037,-1.4109075376022926
109,0,22,18,73.0,72.0,3,41.42,0,0.4878989976083445,-0.40231991649385773,-0.1234865740220567,0.3110652758695628,-0.8014054949110037,-0.11830320769195056
110,1,23,17,64.0,75.0,2,44.11,0,0.9782497489735144,-0.5013647014504943,-0.7464569586624752,0.49985666320694666,-1.1930992851900866,0.1690608954038194
111,0,19,33,97.0,84.0,9,60.43,1,-0.9831532564871651,1.0833518578556902,1.5377677850190592,1.0662308252190984,1.5487572467634936,1.9124743387209087
112,1,20,16,56.0,62.0,3,37.0,0,-0.49280250512199525,-0.6004094864071308,-1.3002084116761805,-0.31823934858838365,-0.8014054949110037,-0.5904776819236625
113,0,20,6,70.0,84.0,5,45.08,0,-0.49280250512199525,-1.590857335973496,-0.3311433689021962,1.0662308252190984,-0.018017914352837915,0.27268289540489626
114,0,24,36,91.0,84.0,9,51.01,1,1.4686005003386842,1.3804862127256,1.1224541952587803,1.0662308252190984,1.5487572467634936,0.9061658438650886
115,1,23,17,75.0,73.0,8,42.84,0,0.9782497489735144,-0.5013647014504943,0.014951289231369626,0.37399573831535743,1.1570634564844107,0.03339085416529636
116,0,21,31,93.0,48.0,2,51.88,1,-0.0024517537568253616,0.8852622879424172,1.2608920585122065,-1.1992658228295086,-1.1930992851900866,0.9991051634536839
117,1,19,21,63.0,63.0,3,42.65,0,-0.9831532564871651,-0.10518556162394811,-0.8156758902891883,-0.255308886142589,-0.8014054949110037,0.013093761381579729
118,0,23,35,86.0,47.0,2,54.6,1,0.9782497489735144,1.2814414277689634,0.7763595371252144,-1.2621962852753033,-1.1930992851900866,1.2896740706731986
119,0,19,38,70.0,46.0,8,43.71,0,-0.9831532564871651,1.5785757826388729,-0.3311433689021962,-1.325126747721098,1.1570634564844107,0.1263301737538909
120,1,19,28,67.0,75.0,6,50.08,1,-0.9831532564871651,0.5881279330725077,-0.5388001637823356,0.49985666320694666,0.37367587592624496,0.8068169160290045
121,0,19,39,54.0,57.0,6,51.31,1,-0.9831532564871651,1.6776205675955094,-1.4386462749296067,-0.6328916608173568,0.37367587592624496,0.9382138851025356
122,1,23,10,52.0,42.0,9,23.5,0,0.9782497489735144,-1.19467819614695,-1.5770841381830332,-1.5768485975042765,1.5487572467634936,-2.0326395376087545
123,0,24,23,72.0,67.0,8,40.72,0,1.4686005003386842,0.09290400828932495,-0.19270550564876987,-0.0035870363594104303,1.1570634564844107,-0.19308197057932602
124,1,20,34,75.0,45.0,4,41.26,0,-0.49280250512199525,1.1823966428123267,0.014951289231369626,-1.3880572101668924,-0.4097117046319208,-0.1353954963519224
125,1,20,11,86.0,83.0,4,39.84,0,-0.49280250512199525,-1.0956334111903134,0.7763595371252144,1.0033003627733037,-0.4097117046319208,-0.2870895582091686
126,0,24,14,73.0,83.0,9,31.35,0,1.4686005003386842,-0.7984990563204039,-0.1234865740220567,1.0033003627733037,1.5487572467634936,-1.1940491252289045
127,0,19,36,98.0,60.0,1,52.2,1,-0.9831532564871651,1.3804862127256,1.6069867166457723,-0.4441002734799729,-1.5847930754691695,1.0332897407736268
128,1,21,38,68.0,67.0,2,54.71,1,-0.0024517537568253616,1.5785757826388729,-0.46958123215562253,-0.0035870363594104303,-1.1930992851900866,1.301425019126929
129,0,18,32,74.0,79.0,2,55.88,1,-1.473504007852335,0.9843070728990537,-0.054267642395343534,0.7515785129901252,-1.1930992851900866,1.4264123799529704
130,0,23,19,70.0,93.0,6,48.99,0,0.9782497489735144,-0.3032751315372212,-0.3311433689021962,1.6326049872312502,0.37367587592624496,0.6903756995329493
131,0,18,34,61.0,93.0,4,58.13,1,-1.473504007852335,1.1823966428123267,-0.9541137535426146,1.6326049872312502,-0.4097117046319208,1.6667726892338193
132,1,24,33,90.0,40.0,3,45.91,0,1.4686005003386842,1.0833518578556902,1.053235263632067,-1.7027095223958657,-0.8014054949110037,0.36134914282849806
133,1,21,26,82.0,75.0,3,37.88,0,-0.0024517537568253616,0.39003836315923457,0.4994838106183618,0.49985666320694666,-0.8014054949110037,-0.4964700942938191
134,1,23,8,99.0,60.0,3,42.95,0,0.9782497489735144,-1.3927677660602231,1.6762056482724856,-0.4441002734799729,-0.8014054949110037,0.04514180261902668
135,1,24,24,53.0,82.0,6,39.38,0,1.4686005003386842,0.19194879324596148,-1.50786520655632,0.9403699003275091,0.37367587592624496,-0.3362298881065866
136,1,19,36,91.0,74.0,8,56.6,1,-0.9831532564871651,1.3804862127256,1.1224541952587803,0.4369262007611521,1.1570634564844107,1.503327678922842
137,1,20,8,56.0,52.0,7,32.77,0,-0.49280250512199525,-1.3927677660602231,-1.3002084116761805,-0.94754397304633,0.7653696662053279,-1.0423550633716576
138,1,18,31,71.0,88.0,4,52.82,1,-1.473504007852335,0.8852622879424172,-0.26192443727548304,1.317952675002277,-0.4097117046319208,1.099522359331016
139,1,22,21,82.0,93.0,4,56.33,1,0.4878989976083445,-0.10518556162394811,0.4994838106183618,1.6326049872312502,-0.4097117046319208,1.4744844418091398
140,1,22,16,66.0,93.0,2,35.04,0,0.4878989976083445,-0.6004094864071308,-0.6080190954090489,1.6326049872312502,-1.1930992851900866,-0.7998582180083129
141,0,21,26,73.0,49.0,1,44.26,0,-0.0024517537568253616,0.39003836315923457,-0.1234865740220567,-1.1363353603837139,-1.5847930754691695,0.1850849160225425
142,1,19,21,83.0,92.0,9,53.03,1,-0.9831532564871651,-0.10518556162394811,0.5687027422450749,1.5696745247854555,1.5487572467634936,1.1219559881972287
143,0,18,14,77.0,83.0,2,37.89,0,-1.473504007852335,-0.7984990563204039,0.15338915248479595,1.0033003627733037,-1.1930992851900866,-0.49540182625257106
144,0,19,5,92.0,86.0,8,42.12,0,-0.9831532564871651,-1.6899021209301326,1.1916731268854934,1.1920917501106878,1.1570634564844107,-0.04352444480457587
145,0,18,26,90.0,92.0,9,42.33,0,-1.473504007852335,0.39003836315923457,1.053235263632067,1.5696745247854555,1.5487572467634936,-0.02109081593836323
146,1,21,30,88.0,49.0,4,48.09,0,-0.0024517537568253616,0.7862175029857806,0.9147974003786408,-1.1363353603837139,-0.4097117046319208,0.59423157582061
147,1,21,22,71.0,85.0,8,48.4,0,-0.0024517537568253616,-0.006140776667311581,-0.26192443727548304,1.129161287664893,1.1570634564844107,0.6273478850993042
148,1,22,18,98.0,52.0,9,38.84,0,0.4878989976083445,-0.40231991649385773,1.6069867166457723,-0.94754397304633,1.5487572467634936,-0.39391636233399024
149,1,19,33,66.0,76.0,5,44.52,0,-0.9831532564871651,1.0833518578556902,-0.6080190954090489,0.5627871256527414,-0.018017914352837915,0.21285988509499668
150,0,23,16,83.0,77.0,7,38.38,0,0.9782497489735144,-0.6004094864071308,0.5687027422450749,0.625717588098536,0.7653696662053279,-0.44305669223140826
151,1,22,39,55.0,63.0,4,51.18,1,0.4878989976083445,1.6776205675955094,-1.3694273433028936,-0.255308886142589,-0.4097117046319208,0.9243264005663084
152,1,19,16,95.0,41.0,1,31.01,0,-0.9831532564871651,-0.6004094864071308,1.399329921765633,-1.639779059950071,-1.5847930754691695,-1.230370238631344
153,1,22,11,55.0,61.0,3,35.6,0,0.4878989976083445,-1.0956334111903134,-1.3694273433028936,-0.38116981103417824,-0.8014054949110037,-0.7400352076984126
154,1,23,33,83.0,56.0,5,51.49,1,0.9782497489735144,1.0833518578556902,0.5687027422450749,-0.6958221232631515,-0.018017914352837915,0.9574427098450035
155,1,20,15,50.0,75.0,3,36.47,0,-0.49280250512199525,-0.6994542713637673,-1.7155220014364594,0.49985666320694666,-0.8014054949110037,-0.647095888109818
156,0,20,37,59.0,53.0,7,45.52,0,-0.49280250512199525,1.4795309976822364,-1.092551616796041,-0.8846135106005354,0.7653696662053279,0.31968668921981835
157,1,20,10,70.0,49.0,9,26.93,0,-0.49280250512199525,-1.19467819614695,-0.3311433689021962,-1.1363353603837139,1.5487572467634936,-1.6662235994606165
158,0,20,19,54.0,74.0,6,41.85,0,-0.49280250512199525,-0.3032751315372212,-1.4386462749296067,0.4369262007611521,0.37367587592624496,-0.07236768191827728
159,1,24,36,51.0,64.0,1,58.5,1,1.4686005003386842,1.3804862127256,-1.6463030698097463,-0.19237842369679434,-1.5847930754691695,1.706298606760003
160,0,18,15,71.0,42.0,7,27.87,0,-1.473504007852335,-0.6994542713637673,-0.26192443727548304,-1.5768485975042765,0.7653696662053279,-1.565806403583284
161,1,24,27,97.0,86.0,3,55.44,1,1.4686005003386842,0.48908314811587106,1.5377677850190592,1.1920917501106878,-0.8014054949110037,1.3794085861380485
162,1,24,30,51.0,77.0,5,50.44,1,1.4686005003386842,0.7862175029857806,-1.6463030698097463,0.625717588098536,-0.018017914352837915,0.8452745655139402
163,0,24,38,59.0,56.0,4,44.07,0,1.4686005003386842,1.5785757826388729,-1.092551616796041,-0.6958221232631515,-0.4097117046319208,0.16478782323882665
164,0,20,38,83.0,51.0,5,41.64,0,-0.49280250512199525,1.5785757826388729,0.5687027422450749,-1.0104744354921247,-0.018017914352837915,-0.09480131078448992
165,0,23,33,65.0,93.0,5,59.73,1,0.9782497489735144,1.0833518578556902,-0.677238027035762,1.6326049872312502,-0.018017914352837915,1.8376955758335332
166,1,21,8,97.0,91.0,6,36.35,0,-0.0024517537568253616,-1.3927677660602231,1.5377677850190592,1.5067440623396609,0.37367587592624496,-0.6599151046047963
167,0,21,21,88.0,63.0,6,48.5,0,-0.0024517537568253616,-0.10518556162394811,0.9147974003786408,-0.255308886142589,0.37367587592624496,0.6380305655117865
168,1,18,39,71.0,68.0,8,52.73,1,-1.473504007852335,1.6776205675955094,-0.26192443727548304,0.05934342608638421,1.1570634564844107,1.0899079469597817
169,1,20,17,61.0,82.0,8,36.72,0,-0.49280250512199525,-0.5013647014504943,-0.9541137535426146,0.9403699003275091,1.1570634564844107,-0.6203891870786126
170,0,20,19,73.0,64.0,9,33.74,0,-0.49280250512199525,-0.3032751315372212,-0.1234865740220567,-0.19237842369679434,1.5487572467634936,-0.9387330633705807
