Age,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate
53,1282,Research & Development,5,Other,32,Female,58,Manager,Divorced,19094,10735
32,1125,Research & Development,16,Life Sciences,33,Female,72,Research Scientist,Single,3919,4681
42,691,Sales,8,Marketing,35,Male,48,Sales Executive,Married,6825,21173
44,477,Research & Development,7,Medical,36,Female,42,Healthcare Representative,Married,10248,2094
46,705,Sales,2,Marketing,38,Female,83,Manager,Single,18947,22822
33,924,Research & Development,2,Medical,39,Male,78,Laboratory Technician,Single,2496,6670
44,1459,Research & Development,10,Other,40,Male,41,Healthcare Representative,Married,6465,19121
30,125,Research & Development,9,Medical,41,Male,83,Laboratory Technician,Single,2206,16117
39,895,Sales,5,Technical Degree,42,Male,56,Sales Representative,Married,2086,3335
24,813,Research & Development,1,Medical,45,Male,61,Research Scientist,Married,2293,3020
43,1273,Research & Development,2,Medical,46,Female,72,Research Scientist,Divorced,2645,21923
50,869,Sales,3,Marketing,47,Male,86,Sales Representative,Married,2683,3810
35,890,Sales,2,Marketing,49,Female,97,Sales Representative,Married,2014,9687
36,852,Research & Development,5,Life Sciences,51,Female,82,Research Scientist,Married,3419,13072
33,1141,Sales,1,Life Sciences,52,Female,42,Sales Executive,Married,5376,3193
35,464,Research & Development,4,Other,53,Male,75,Laboratory Technician,Divorced,1951,10910
27,1240,Research & Development,2,Life Sciences,54,Female,33,Laboratory Technician,Divorced,2341,19715
26,1357,Research & Development,25,Life Sciences,55,Male,48,Laboratory Technician,Single,2293,10558
27,994,Sales,8,Life Sciences,56,Male,37,Sales Executive,Single,8726,2975
30,721,Research & Development,1,Medical,57,Female,58,Laboratory Technician,Single,4011,10781
41,1360,Research & Development,12,Technical Degree,58,Female,49,Research Director,Married,19545,16280
34,1065,Sales,23,Marketing,60,Male,72,Sales Executive,Single,4568,10034
37,408,Research & Development,19,Life Sciences,61,Male,73,Research Scientist,Married,3022,10227
46,1211,Sales,5,Marketing,62,Male,98,Sales Executive,Single,5772,20445
35,1229,Research & Development,8,Life Sciences,63,Male,36,Laboratory Technician,Married,2269,4892
48,626,Research & Development,1,Life Sciences,64,Male,98,Laboratory Technician,Single,5381,19294
28,1434,Research & Development,5,Technical Degree,65,Male,50,Laboratory Technician,Single,3441,11179
44,1488,Sales,1,Marketing,68,Female,75,Sales Executive,Divorced,5454,4009
35,1097,Research & Development,11,Medical,70,Male,79,Healthcare Representative,Married,9884,8302
26,1443,Sales,23,Marketing,72,Female,47,Sales Executive,Married,4157,21436
33,515,Research & Development,1,Life Sciences,73,Female,98,Research Director,Single,13458,15146
35,853,Sales,18,Life Sciences,74,Male,71,Sales Executive,Married,9069,11031
35,1142,Research & Development,23,Medical,75,Female,30,Laboratory Technician,Married,4014,16002
31,655,Research & Development,7,Life Sciences,76,Male,48,Laboratory Technician,Divorced,5915,9528
37,1115,Research & Development,1,Life Sciences,77,Male,51,Manufacturing Director,Divorced,5993,2689
32,427,Research & Development,1,Medical,78,Male,33,Manufacturing Director,Married,6162,10877
38,653,Research & Development,29,Life Sciences,79,Female,50,Laboratory Technician,Single,2406,5456
50,989,Research & Development,7,Medical,80,Female,43,Research Director,Divorced,18740,16701
59,1435,Sales,25,Life Sciences,81,Female,99,Sales Executive,Single,7637,2354
36,1223,Research & Development,8,Technical Degree,83,Female,59,Healthcare Representative,Divorced,10096,8202
55,836,Research & Development,8,Medical,84,Female,33,Manager,Divorced,14756,19730
36,1195,Research & Development,11,Life Sciences,85,Male,95,Manufacturing Director,Single,6499,22656
45,1339,Research & Development,7,Life Sciences,86,Male,59,Research Scientist,Divorced,9724,18787
35,664,Research & Development,1,Medical,88,Male,79,Research Scientist,Married,2194,5868
36,318,Research & Development,9,Medical,90,Male,79,Research Scientist,Married,3388,21777
59,1225,Sales,1,Life Sciences,91,Female,57,Sales Executive,Single,5473,24668
29,1328,Research & Development,2,Life Sciences,94,Male,76,Research Scientist,Married,2703,4956
31,1082,Research & Development,1,Medical,95,Male,87,Research Scientist,Single,2501,18775
32,548,Research & Development,1,Life Sciences,96,Male,66,Research Scientist,Married,6220,7346
36,132,Research & Development,6,Life Sciences,97,Female,55,Laboratory Technician,Married,3038,22002
31,746,Research & Development,8,Life Sciences,98,Female,61,Manufacturing Director,Single,4424,20682
35,776,Sales,1,Marketing,100,Male,32,Sales Executive,Single,4312,23016
45,193,Research & Development,6,Other,101,Male,52,Research Director,Married,13245,15067
37,397,Research & Development,7,Medical,102,Male,30,Research Director,Single,13664,25258
46,945,Human Resources,5,Medical,103,Male,80,Human Resources,Divorced,5021,10425
30,852,Research & Development,1,Life Sciences,104,Male,55,Laboratory Technician,Married,5126,15998
35,1214,Research & Development,1,Medical,105,Male,30,Research Scientist,Single,2859,26278
55,111,Sales,1,Life Sciences,106,Male,70,Sales Executive,Married,10239,18092
38,573,Research & Development,6,Medical,107,Female,79,Research Scientist,Divorced,5329,15717
34,1153,Research & Development,1,Medical,110,Male,94,Manufacturing Director,Married,4325,17736
56,1400,Research & Development,7,Life Sciences,112,Male,49,Manufacturing Director,Single,7260,21698
23,541,Sales,2,Technical Degree,113,Male,62,Sales Representative,Divorced,2322,9518
51,432,Research & Development,9,Life Sciences,116,Male,96,Laboratory Technician,Married,2075,18725
30,288,Research & Development,2,Life Sciences,117,Male,99,Healthcare Representative,Married,4152,15830
46,669,Sales,9,Medical,118,Male,64,Sales Executive,Single,9619,13596
40,530,Research & Development,1,Life Sciences,119,Male,78,Healthcare Representative,Married,13503,14115
51,632,Sales,21,Marketing,120,Male,71,Sales Executive,Single,5441,8423
30,1334,Sales,4,Medical,121,Female,63,Sales Executive,Divorced,5209,19760
46,638,Research & Development,1,Medical,124,Male,40,Healthcare Representative,Married,10673,3142
32,1093,Sales,6,Medical,125,Male,87,Sales Executive,Single,5010,24301
54,1217,Research & Development,2,Technical Degree,126,Female,60,Research Director,Married,13549,24001
24,1353,Sales,3,Other,128,Female,33,Sales Executive,Married,4999,17519
28,120,Sales,4,Medical,129,Male,43,Sales Executive,Married,4221,8863
58,682,Sales,10,Medical,131,Male,37,Sales Executive,Single,13872,24409
44,489,Research & Development,23,Medical,132,Male,67,Laboratory Technician,Married,2042,25043
37,807,Human Resources,6,Human Resources,133,Male,63,Human Resources,Divorced,2073,23648
32,827,Research & Development,1,Life Sciences,134,Male,71,Research Scientist,Single,2956,15178
20,871,Research & Development,6,Life Sciences,137,Female,66,Laboratory Technician,Single,2926,19783
34,665,Research & Development,6,Other,138,Female,41,Research Scientist,Single,4809,12482
37,1040,Research & Development,2,Life Sciences,139,Male,100,Healthcare Representative,Divorced,5163,15850
59,1420,Human Resources,2,Human Resources,140,Female,32,Manager,Married,18844,21922
50,1115,Research & Development,1,Life Sciences,141,Female,73,Research Director,Married,18172,9755
25,240,Sales,5,Marketing,142,Male,46,Sales Executive,Single,5744,26959
25,1280,Research & Development,7,Medical,143,Male,64,Research Scientist,Married,2889,26897
22,534,Research & Development,15,Medical,144,Female,59,Laboratory Technician,Single,2871,23785
51,1456,Research & Development,1,Medical,145,Female,30,Healthcare Representative,Single,7484,25796
34,658,Research & Development,7,Life Sciences,147,Male,66,Laboratory Technician,Single,6074,22887
54,142,Human Resources,26,Human Resources,148,Female,30,Manager,Single,17328,13871
24,1127,Research & Development,18,Life Sciences,150,Male,52,Laboratory Technician,Married,2774,13257
34,1031,Research & Development,6,Life Sciences,151,Female,45,Research Scientist,Divorced,4505,15000
37,1189,Sales,3,Life Sciences,152,Male,87,Sales Executive,Single,7428,14506
34,1354,Research & Development,5,Medical,153,Female,45,Manager,Single,11631,5615
36,1467,Sales,11,Technical Degree,154,Female,92,Sales Executive,Married,9738,22952
36,922,Research & Development,3,Life Sciences,155,Female,39,Laboratory Technician,Divorced,2835,2561
43,394,Sales,26,Life Sciences,158,Male,92,Manager,Married,16959,19494
30,1312,Research & Development,23,Life Sciences,159,Male,96,Research Scientist,Divorced,2613,22310
33,750,Sales,22,Marketing,160,Male,95,Sales Executive,Married,6146,15480
56,441,Research & Development,14,Life Sciences,161,Female,72,Research Scientist,Married,4963,4510
51,684,Research & Development,6,Life Sciences,162,Male,51,Research Director,Single,19537,6462
31,249,Sales,6,Life Sciences,163,Male,76,Sales Executive,Married,6172,20739
26,841,Research & Development,6,Other,164,Female,46,Research Scientist,Married,2368,23300
58,147,Research & Development,23,Medical,165,Female,94,Healthcare Representative,Married,10312,3465
19,528,Sales,22,Marketing,167,Male,50,Sales Representative,Single,1675,26820
22,594,Research & Development,2,Technical Degree,169,Male,100,Laboratory Technician,Married,2523,19299
49,470,Research & Development,20,Medical,170,Female,96,Manufacturing Director,Married,6567,5549
43,957,Research & Development,28,Medical,171,Female,72,Research Scientist,Single,4739,16090
50,809,Sales,12,Marketing,174,Female,77,Sales Executive,Single,9208,6645
31,542,Sales,20,Life Sciences,175,Female,71,Sales Executive,Married,4559,24788
41,802,Sales,9,Life Sciences,176,Male,96,Sales Executive,Divorced,8189,21196
26,1355,Human Resources,25,Life Sciences,177,Female,61,Human Resources,Married,2942,8916
36,216,Research & Development,6,Medical,178,Male,84,Manufacturing Director,Divorced,4941,2819
51,1150,Research & Development,8,Life Sciences,179,Male,53,Manufacturing Director,Single,10650,25150
39,1329,Sales,4,Life Sciences,182,Female,47,Sales Executive,Married,5902,14590
25,959,Sales,28,Life Sciences,183,Male,41,Sales Executive,Married,8639,24835
30,1240,Human Resources,9,Human Resources,184,Male,48,Human Resources,Married,6347,13982
32,1033,Research & Development,9,Medical,190,Female,41,Laboratory Technician,Single,4200,10224
45,1316,Research & Development,29,Medical,192,Male,83,Research Scientist,Single,3452,9752
38,364,Research & Development,3,Technical Degree,193,Female,32,Research Scientist,Single,4317,2302
30,438,Research & Development,18,Life Sciences,194,Female,75,Research Scientist,Single,2632,23910
32,689,Sales,9,Medical,195,Male,35,Sales Executive,Divorced,4668,22812
30,201,Research & Development,5,Technical Degree,197,Female,84,Research Scientist,Divorced,3204,10415
30,1427,Research & Development,2,Medical,198,Male,35,Laboratory Technician,Single,2720,11162
41,857,Research & Development,10,Life Sciences,199,Male,91,Manager,Divorced,17181,12888
41,933,Research & Development,9,Life Sciences,200,Male,94,Laboratory Technician,Married,2238,6961
19,1181,Research & Development,3,Medical,201,Female,79,Laboratory Technician,Single,1483,16102
40,1395,Research & Development,26,Medical,202,Female,54,Research Scientist,Divorced,5605,8504
35,662,Sales,1,Marketing,204,Male,94,Sales Executive,Married,7295,11439
53,1436,Sales,6,Marketing,205,Male,34,Sales Representative,Married,2306,16047
45,194,Research & Development,9,Life Sciences,206,Male,60,Laboratory Technician,Divorced,2348,10901
32,967,Sales,8,Marketing,207,Female,43,Sales Executive,Single,8998,15589
29,1496,Research & Development,1,Technical Degree,208,Male,41,Manufacturing Director,Married,4319,26283
51,1169,Research & Development,7,Medical,211,Male,34,Manufacturing Director,Married,6132,13983
58,1145,Research & Development,9,Medical,214,Female,75,Research Scientist,Married,3346,11873
40,630,Sales,4,Marketing,215,Male,67,Sales Executive,Married,10855,8552
34,303,Sales,2,Marketing,216,Female,75,Sales Representative,Married,2231,11314
22,1256,Research & Development,19,Medical,217,Male,80,Research Scientist,Married,2323,11992
27,691,Research & Development,9,Medical,218,Male,57,Research Scientist,Divorced,2024,5970
28,440,Research & Development,21,Medical,221,Male,42,Research Scientist,Married,2713,6672
57,334,Research & Development,24,Life Sciences,223,Male,83,Healthcare Representative,Divorced,9439,23402
27,1450,Research & Development,3,Medical,224,Male,79,Research Scientist,Divorced,2566,25326
50,1452,Research & Development,11,Life Sciences,226,Female,53,Manager,Single,19926,17053
41,465,Research & Development,14,Life Sciences,227,Male,56,Research Scientist,Divorced,2451,4609
30,1339,Sales,5,Life Sciences,228,Female,41,Sales Executive,Married,9419,8053
38,702,Sales,1,Life Sciences,230,Female,59,Sales Executive,Single,8686,12930
32,120,Research & Development,6,Life Sciences,231,Male,43,Research Scientist,Single,3038,12430
27,1157,Research & Development,17,Technical Degree,233,Male,51,Research Scientist,Married,3058,13364
19,602,Sales,1,Technical Degree,235,Female,100,Sales Representative,Single,2325,20989
36,1480,Research & Development,3,Medical,238,Male,30,Laboratory Technician,Single,2088,15062
30,111,Research & Development,9,Medical,239,Male,66,Laboratory Technician,Divorced,3072,11012
45,1268,Sales,4,Life Sciences,240,Female,30,Sales Executive,Divorced,5006,6319
56,713,Research & Development,8,Life Sciences,241,Female,67,Research Scientist,Divorced,4257,13939
33,134,Research & Development,2,Life Sciences,242,Male,90,Research Scientist,Single,2500,10515
19,303,Research & Development,2,Life Sciences,243,Male,47,Laboratory Technician,Single,1102,9241
46,526,Sales,1,Marketing,244,Female,92,Sales Executive,Divorced,10453,2137
38,1380,Research & Development,9,Life Sciences,245,Female,75,Laboratory Technician,Single,2288,6319
31,140,Research & Development,12,Medical,246,Female,95,Research Scientist,Married,3929,6984
34,629,Research & Development,27,Medical,247,Female,95,Research Scientist,Single,2311,5711
41,1356,Sales,20,Marketing,248,Female,70,Sales Representative,Single,3140,21728
50,328,Research & Development,1,Medical,249,Male,86,Laboratory Technician,Married,3690,3425
53,1084,Research & Development,13,Medical,250,Female,57,Manufacturing Director,Divorced,4450,26250
33,931,Research & Development,14,Medical,252,Female,72,Research Scientist,Married,2756,4673
40,989,Research & Development,4,Medical,253,Female,46,Manager,Married,19033,6499
55,692,Research & Development,14,Medical,254,Male,61,Research Director,Single,18722,13339
34,1069,Research & Development,2,Life Sciences,256,Male,45,Manufacturing Director,Married,9547,14074
51,313,Research & Development,3,Medical,258,Female,98,Healthcare Representative,Single,13734,7192
52,699,Research & Development,1,Life Sciences,259,Male,65,Manager,Married,19999,5678
27,894,Research & Development,9,Medical,260,Female,99,Research Scientist,Single,2279,11781
35,556,Research & Development,23,Life Sciences,261,Male,50,Manufacturing Director,Married,5916,15497
43,1344,Research & Development,7,Medical,262,Male,37,Research Scientist,Divorced,2089,5228
45,1195,Research & Development,2,Medical,264,Male,65,Manager,Married,16792,20462
37,290,Research & Development,21,Life Sciences,267,Male,65,Research Scientist,Married,3564,22977
35,138,Research & Development,2,Medical,269,Female,37,Laboratory Technician,Single,4425,15986
42,926,Research & Development,21,Medical,270,Female,36,Manufacturing Director,Divorced,5265,16439
38,1261,Research & Development,2,Life Sciences,271,Male,88,Manufacturing Director,Married,6553,7259
38,1084,Research & Development,29,Technical Degree,273,Male,54,Manufacturing Director,Married,6261,4185
27,472,Research & Development,1,Technical Degree,274,Male,60,Manufacturing Director,Married,4298,9679
49,1002,Research & Development,18,Life Sciences,275,Male,92,Manufacturing Director,Divorced,6804,23793
34,878,Research & Development,10,Medical,277,Male,43,Research Scientist,Divorced,3815,5972
40,905,Research & Development,19,Medical,281,Male,99,Laboratory Technician,Married,2741,16523
38,1180,Research & Development,29,Medical,282,Male,70,Healthcare Representative,Married,6673,11354
29,121,Sales,27,Marketing,283,Female,35,Sales Executive,Married,7639,24525
22,1136,Research & Development,5,Life Sciences,284,Male,60,Research Scientist,Divorced,2328,12392
36,635,Research & Development,18,Medical,286,Female,73,Laboratory Technician,Single,2153,7703
40,1151,Research & Development,9,Life Sciences,287,Male,63,Healthcare Representative,Married,4876,14242
46,644,Research & Development,1,Medical,288,Male,97,Healthcare Representative,Divorced,9396,12368
32,1045,Sales,4,Medical,291,Male,32,Sales Executive,Married,10400,25812
30,829,Research & Development,1,Life Sciences,292,Male,88,Manufacturing Director,Single,8474,20925
27,1242,Sales,20,Life Sciences,293,Female,90,Sales Executive,Single,9981,12916
51,1469,Research & Development,8,Life Sciences,296,Male,81,Research Director,Married,12490,15736
30,1005,Research & Development,3,Technical Degree,297,Female,88,Research Scientist,Single,2657,8556
41,896,Sales,6,Life Sciences,298,Female,75,Manager,Single,13591,14674
30,334,Sales,26,Marketing,299,Female,52,Sales Executive,Single,6696,22967
29,992,Research & Development,1,Technical Degree,300,Male,85,Research Scientist,Single,2058,19757
45,1052,Sales,6,Medical,302,Female,57,Sales Executive,Single,8865,16840
54,1147,Sales,3,Marketing,303,Female,52,Sales Executive,Married,5940,17011
36,1396,Research & Development,5,Life Sciences,304,Male,62,Laboratory Technician,Single,5914,9945
33,147,Research & Development,4,Medical,305,Female,47,Research Scientist,Married,2622,13248
37,663,Research & Development,11,Other,306,Male,47,Research Director,Divorced,12185,10056
38,119,Sales,3,Life Sciences,307,Male,76,Sales Executive,Divorced,10609,9647
31,979,Research & Development,1,Medical,308,Male,90,Manufacturing Director,Married,4345,4381
59,142,Research & Development,3,Life Sciences,309,Male,70,Research Scientist,Married,2177,8456
37,319,Sales,4,Marketing,311,Male,41,Sales Representative,Divorced,2793,2539
29,1413,Sales,1,Medical,312,Female,42,Sales Executive,Married,7918,6599
35,944,Sales,1,Marketing,314,Female,92,Sales Executive,Single,8789,9096
29,896,Research & Development,18,Medical,315,Male,86,Research Scientist,Single,2389,14961
52,1323,Research & Development,2,Life Sciences,316,Female,89,Laboratory Technician,Single,3212,3300
42,532,Research & Development,4,Technical Degree,319,Male,58,Manager,Married,19232,4933
59,818,Human Resources,6,Medical,321,Male,52,Human Resources,Married,2267,25657
50,854,Sales,1,Medical,323,Female,68,Manager,Divorced,19517,24118
33,813,Research & Development,14,Medical,325,Male,58,Laboratory Technician,Married,2436,22149
43,1034,Sales,16,Marketing,327,Female,80,Manager,Married,16064,7744
33,465,Research & Development,2,Life Sciences,328,Female,39,Laboratory Technician,Married,2707,21509
52,771,Sales,2,Life Sciences,329,Male,79,Manager,Single,19068,21030
32,1401,Sales,4,Life Sciences,330,Female,56,Sales Representative,Married,3931,20990
32,515,Research & Development,1,Life Sciences,331,Male,62,Laboratory Technician,Single,3730,9571
39,1431,Research & Development,1,Medical,332,Female,96,Laboratory Technician,Divorced,2232,15417
32,976,Sales,26,Marketing,333,Male,100,Sales Executive,Married,4465,12069
41,1411,Research & Development,19,Life Sciences,334,Male,36,Research Scientist,Divorced,3072,19877
40,1300,Research & Development,24,Technical Degree,335,Male,62,Research Scientist,Divorced,3319,24447
45,252,Research & Development,1,Other,336,Male,70,Manager,Married,19202,15970
31,1327,Research & Development,3,Medical,337,Male,73,Research Director,Divorced,13675,13523
33,832,Research & Development,5,Life Sciences,338,Female,63,Research Scientist,Married,2911,14776
34,470,Research & Development,2,Life Sciences,339,Male,84,Manufacturing Director,Married,5957,23687
37,1017,Research & Development,1,Medical,340,Female,83,Research Scientist,Married,3920,18697
45,1199,Research & Development,7,Life Sciences,341,Male,77,Manufacturing Director,Married,6434,5118
37,504,Research & Development,10,Medical,342,Male,61,Manufacturing Director,Divorced,10048,22573
39,505,Research & Development,2,Technical Degree,343,Female,64,Healthcare Representative,Single,10938,6420
29,665,Research & Development,15,Life Sciences,346,Male,60,Research Scientist,Single,2340,22673
42,916,Research & Development,17,Life Sciences,347,Female,82,Research Scientist,Single,6545,23016
29,1247,Sales,20,Marketing,349,Male,45,Sales Executive,Divorced,6931,10732
25,685,Research & Development,1,Life Sciences,350,Female,62,Manufacturing Director,Married,4898,7505
42,269,Research & Development,2,Medical,351,Female,56,Laboratory Technician,Divorced,2593,8007
40,1416,Research & Development,2,Medical,352,Male,49,Research Director,Divorced,19436,5949
51,833,Research & Development,1,Life Sciences,353,Male,96,Research Scientist,Married,2723,23231
31,307,Research & Development,29,Medical,355,Male,71,Laboratory Technician,Single,3479,11652
32,1311,Research & Development,7,Life Sciences,359,Male,100,Laboratory Technician,Married,2794,26062
38,1327,Sales,2,Life Sciences,361,Male,39,Sales Executive,Married,5249,19682
32,128,Research & Development,2,Technical Degree,362,Male,84,Laboratory Technician,Single,2176,19737
46,488,Sales,2,Technical Degree,363,Female,75,Manager,Married,16872,14977
28,529,Research & Development,2,Life Sciences,364,Male,79,Laboratory Technician,Single,3485,14935
29,1210,Sales,2,Medical,366,Male,78,Sales Executive,Married,6644,3687
31,1463,Research & Development,23,Medical,367,Male,64,Healthcare Representative,Married,5582,14408
25,675,Research & Development,5,Life Sciences,369,Male,85,Healthcare Representative,Divorced,4000,18384
45,1385,Research & Development,20,Medical,372,Male,79,Healthcare Representative,Married,13496,7501
36,1403,Research & Development,6,Life Sciences,373,Male,47,Laboratory Technician,Married,3210,20251
55,452,Research & Development,1,Medical,374,Male,81,Manager,Single,19045,18938
47,666,Research & Development,29,Life Sciences,376,Male,88,Manager,Married,11849,10268
28,1158,Research & Development,9,Medical,377,Male,94,Research Scientist,Married,2070,2613
37,228,Sales,6,Medical,378,Male,98,Sales Executive,Married,6502,22825
21,996,Research & Development,3,Medical,379,Male,100,Research Scientist,Single,3230,10531
37,728,Research & Development,1,Medical,380,Female,80,Research Director,Divorced,13603,11677
35,1315,Research & Development,22,Life Sciences,381,Female,71,Manager,Divorced,11996,19100
38,322,Sales,7,Medical,382,Female,44,Sales Executive,Divorced,5605,19191
26,1479,Research & Development,1,Life Sciences,384,Female,84,Manufacturing Director,Divorced,6397,26767
50,797,Research & Development,4,Life Sciences,385,Male,96,Research Director,Divorced,19144,15815
53,1070,Research & Development,3,Medical,386,Male,45,Research Director,Married,17584,21016
42,635,Sales,1,Life Sciences,387,Male,99,Sales Executive,Married,4907,24532
29,442,Sales,2,Life Sciences,388,Male,44,Sales Executive,Single,4554,20260
55,147,Research & Development,20,Technical Degree,389,Male,37,Laboratory Technician,Married,5415,15972
26,496,Research & Development,11,Medical,390,Male,60,Healthcare Representative,Married,4741,22722
37,1372,Research & Development,1,Life Sciences,391,Female,42,Research Scientist,Single,2115,15881
44,920,Research & Development,24,Life Sciences,392,Male,43,Laboratory Technician,Divorced,3161,19920
38,688,Research & Development,23,Life Sciences,393,Male,82,Healthcare Representative,Divorced,5745,18899
26,1449,Research & Development,16,Medical,394,Male,45,Laboratory Technician,Divorced,2373,14180
28,1117,Research & Development,8,Life Sciences,395,Female,66,Research Scientist,Single,3310,4488
49,636,Research & Development,10,Life Sciences,396,Female,35,Research Director,Single,18665,25594
36,506,Research & Development,3,Technical Degree,397,Male,30,Research Scientist,Single,4485,26285
31,444,Sales,5,Marketing,399,Female,84,Sales Representative,Divorced,2789,3909
26,950,Sales,4,Marketing,401,Male,48,Sales Executive,Single,5828,8450
37,889,Research & Development,9,Medical,403,Male,53,Research Scientist,Married,2326,11411
42,555,Sales,26,Marketing,404,Female,77,Sales Executive,Married,13525,14864
18,230,Research & Development,3,Life Sciences,405,Male,54,Laboratory Technician,Single,1420,25233
35,1232,Sales,16,Marketing,406,Male,96,Sales Executive,Married,8020,5100
36,566,Research & Development,18,Life Sciences,407,Male,81,Laboratory Technician,Married,3688,7122
51,1302,Research & Development,2,Medical,408,Male,84,Manufacturing Director,Divorced,5482,16321
41,334,Sales,2,Life Sciences,410,Male,88,Manager,Single,16015,15896
18,812,Sales,10,Medical,411,Female,69,Sales Representative,Single,1200,9724
28,1476,Research & Development,16,Medical,412,Male,68,Healthcare Representative,Single,5661,4824
31,218,Sales,7,Technical Degree,416,Male,100,Sales Executive,Married,6929,12241
39,1132,Research & Development,1,Medical,417,Male,48,Healthcare Representative,Divorced,9613,10942
36,1105,Research & Development,24,Life Sciences,419,Female,47,Laboratory Technician,Married,5674,6927
32,906,Sales,7,Life Sciences,420,Male,91,Sales Executive,Married,5484,16985
38,849,Research & Development,25,Life Sciences,421,Female,81,Research Director,Married,12061,26707
58,390,Research & Development,1,Life Sciences,422,Male,32,Healthcare Representative,Divorced,5660,17056
31,691,Research & Development,5,Technical Degree,423,Male,86,Research Scientist,Married,4821,10077
31,106,Human Resources,2,Human Resources,424,Male,62,Human Resources,Married,6410,17822
45,1249,Research & Development,7,Life Sciences,425,Male,97,Laboratory Technician,Divorced,5210,20308
31,192,Research & Development,2,Life Sciences,426,Male,32,Research Scientist,Divorced,2695,7747
33,553,Research & Development,5,Life Sciences,428,Female,74,Manager,Married,11878,23364
39,117,Research & Development,10,Medical,429,Male,99,Manager,Married,17068,5355
43,185,Research & Development,10,Life Sciences,430,Female,33,Laboratory Technician,Single,2455,10675
49,1091,Research & Development,1,Technical Degree,431,Female,90,Healthcare Representative,Single,13964,17810
52,723,Research & Development,8,Medical,433,Male,85,Research Scientist,Married,4941,17747
27,1220,Research & Development,5,Life Sciences,434,Female,85,Research Scientist,Single,2478,20938
32,588,Sales,8,Technical Degree,436,Female,65,Sales Executive,Married,5228,24624
27,1377,Sales,2,Life Sciences,437,Male,74,Sales Executive,Single,4478,5242
31,691,Sales,7,Marketing,438,Male,73,Sales Executive,Divorced,7547,7143
32,1018,Research & Development,2,Medical,439,Female,74,Research Scientist,Single,5055,10557
28,1157,Research & Development,2,Medical,440,Male,84,Research Scientist,Married,3464,24737
30,1275,Research & Development,28,Medical,441,Female,64,Research Scientist,Married,5775,11934
31,798,Research & Development,7,Life Sciences,442,Female,48,Manufacturing Director,Married,8943,14034
39,672,Research & Development,7,Medical,444,Male,54,Manager,Married,19272,21141
39,1162,Sales,3,Medical,445,Female,41,Sales Executive,Married,5238,17778
33,508,Sales,10,Marketing,446,Male,46,Sales Executive,Single,4682,4317
47,1482,Research & Development,5,Life Sciences,447,Male,42,Research Director,Married,18300,16375
43,559,Research & Development,10,Life Sciences,448,Female,82,Laboratory Technician,Divorced,5257,6227
27,210,Sales,1,Marketing,449,Male,73,Sales Executive,Married,6349,22107
54,928,Research & Development,20,Life Sciences,450,Female,31,Research Scientist,Single,4869,16885
43,1001,Research & Development,7,Life Sciences,451,Female,43,Healthcare Representative,Married,9985,9262
45,549,Research & Development,8,Other,452,Male,75,Research Scientist,Married,3697,9278
