Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Usage_Hours,Final_Score,Result
57,female,24,7,50,60,6,22.79,fail
58,male,22,32,73,82,3,61.55,pass
59,male,23,33,85,52,6,47.66,fail
60,male,20,13,55,76,8,32.94,fail
61,male,22,7,90,72,8,36.19,fail
62,male,24,29,95,63,9,45.42,fail
63,male,22,38,93,83,1,64.41,pass
64,male,22,16,80,50,1,39.95,fail
65,male,22,13,69,56,3,37.49,fail
66,female,19,19,73,43,3,42.09,fail
67,female,19,29,74,86,8,53.65,pass
68,male,20,9,85,64,1,32.67,fail
69,female,18,15,70,69,2,34.1,fail
70,female,22,38,79,48,2,45.75,fail
71,female,23,28,73,60,3,40.35,fail
72,female,18,19,93,59,6,35.88,fail
73,male,23,12,91,58,1,37.74,fail
74,female,18,9,79,58,2,34.31,fail
75,male,20,30,71,51,1,44.24,fail
76,female,22,22,77,76,5,52.19,pass
77,female,22,10,56,81,7,31.15,fail
78,female,21,17,84,56,8,40.96,fail
79,male,23,32,77,76,1,52.06,pass
80,female,18,9,63,93,7,35.89,fail
81,male,18,17,59,87,5,40.35,fail
82,female,19,21,65,78,1,32.24,fail
83,male,21,36,65,67,3,48.64,fail
84,female,24,33,80,80,7,47.67,fail
85,male,24,7,91,74,1,34.12,fail
86,male,19,38,74,86,7,54.32,pass
87,female,19,31,62,87,5,56.44,pass
88,male,19,17,55,57,1,39.12,fail
89,female,23,37,93,53,1,42.64,fail
90,female,23,10,58,74,1,33.62,fail
91,female,20,28,94,83,9,50.98,pass
92,female,20,23,85,80,3,37.78,fail
93,female,19,20,92,46,5,37.8,fail
94,female,21,32,69,80,9,55.48,pass
95,female,18,37,67,52,6,47.72,fail
96,female,23,17,92,57,9,38.54,fail
97,female,21,29,70,76,8,43.94,fail
98,female,22,31,53,52,8,42.76,fail
99,female,23,11,99,75,1,36.53,fail
100,male,23,9,82,70,9,45.04,fail
101,male,20,35,76,41,6,43.86,fail
102,female,18,27,56,55,9,36.9,fail
103,female,18,14,55,48,3,32.06,fail
104,female,24,36,64,48,3,49.05,fail
105,female,24,34,67,77,6,52.41,pass
106,female,24,35,81,50,9,49.35,fail
107,female,24,22,60,93,7,41.55,fail
108,female,22,6,69,61,3,29.32,fail
109,female,22,18,73,72,3,41.42,fail
110,male,23,17,64,75,2,44.11,fail
111,female,19,33,97,84,9,60.43,pass
112,male,20,16,56,62,3,37.0,fail
113,female,20,6,70,84,5,45.08,fail
114,female,24,36,91,84,9,51.01,pass
115,male,23,17,75,73,8,42.84,fail
116,female,21,31,93,48,2,51.88,pass
117,male,19,21,63,63,3,42.65,fail
118,female,23,35,86,47,2,54.6,pass
119,female,19,38,70,46,8,43.71,fail
120,male,19,28,67,75,6,50.08,pass
121,female,19,39,54,57,6,51.31,pass
122,male,23,10,52,42,9,23.5,fail
123,female,24,23,72,67,8,40.72,fail
124,male,20,34,75,45,4,41.26,fail
125,male,20,11,86,83,4,39.84,fail
126,female,24,14,73,83,9,31.35,fail
127,female,19,36,98,60,1,52.2,pass
128,male,21,38,68,67,2,54.71,pass
129,female,18,32,74,79,2,55.88,pass
130,female,23,19,70,93,6,48.99,fail
131,female,18,34,61,93,4,58.13,pass
132,male,24,33,90,40,3,45.91,fail
133,male,21,26,82,75,3,37.88,fail
134,male,23,8,99,60,3,42.95,fail
135,male,24,24,53,82,6,39.38,fail
136,male,19,36,91,74,8,56.6,pass
137,male,20,8,56,52,7,32.77,fail
138,male,18,31,71,88,4,52.82,pass
139,male,22,21,82,93,4,56.33,pass
140,male,22,16,66,93,2,35.04,fail
141,female,21,26,73,49,1,44.26,fail
142,male,19,21,83,92,9,53.03,pass
143,female,18,14,77,83,2,37.89,fail
144,female,19,5,92,86,8,42.12,fail
145,female,18,26,90,92,9,42.33,fail
146,male,21,30,88,49,4,48.09,fail
147,male,21,22,71,85,8,48.4,fail
148,male,22,18,98,52,9,38.84,fail
149,male,19,33,66,76,5,44.52,fail
150,female,23,16,83,77,7,38.38,fail
151,male,22,39,55,63,4,51.18,pass
152,male,19,16,95,41,1,31.01,fail
153,male,22,11,55,61,3,35.6,fail
154,male,23,33,83,56,5,51.49,pass
155,male,20,15,50,75,3,36.47,fail
156,female,20,37,59,53,7,45.52,fail
157,male,20,10,70,49,9,26.93,fail
158,female,20,19,54,74,6,41.85,fail
159,male,24,36,51,64,1,58.5,pass
160,female,18,15,71,42,7,27.87,fail
161,male,24,27,97,86,3,55.44,pass
162,male,24,30,51,77,5,50.44,pass
163,female,24,38,59,56,4,44.07,fail
164,female,20,38,83,51,5,41.64,fail
165,female,23,33,65,93,5,59.73,pass
166,male,21,8,97,91,6,36.35,fail
167,female,21,21,88,63,6,48.5,fail
168,male,18,39,71,68,8,52.73,pass
169,male,20,17,61,82,8,36.72,fail
170,female,20,19,73,64,9,33.74,fail
171,female,20,33,96,75,8,56.53,pass
172,male,22,33,89,65,2,46.4,fail
173,male,19,15,87,77,1,46.3,fail
174,female,22,36,59,40,2,44.85,fail
175,female,19,6,84,59,2,33.92,fail
176,female,20,18,98,94,3,58.93,pass
177,male,20,24,81,67,7,45.67,fail
178,male,22,26,56,55,2,35.52,fail
179,male,22,15,70,86,1,39.95,fail
180,male,19,31,69,56,6,44.36,fail
181,male,21,7,75,79,9,39.68,fail
182,male,19,21,53,67,3,46.22,fail
183,female,22,32,95,51,6,43.22,fail
184,male,23,33,71,66,3,55.08,pass
185,male,22,25,64,93,1,51.76,pass
186,male,23,20,89,92,5,52.76,pass
187,female,18,24,70,81,4,47.58,fail
188,male,22,10,64,86,7,42.6,fail
189,male,18,23,71,69,6,45.94,fail
190,female,21,9,77,80,7,40.73,fail
191,male,19,7,63,73,5,31.69,fail
192,male,23,5,76,76,4,28.4,fail
193,male,19,19,90,45,7,36.86,fail
194,male,18,38,89,46,7,53.81,pass
195,male,23,39,77,71,6,57.35,pass
196,female,19,29,75,71,8,50.23,pass
197,female,22,28,98,92,4,48.48,fail
198,female,20,16,51,64,5,33.85,fail
199,male,18,22,74,72,4,42.58,fail
200,male,19,19,52,94,1,43.8,fail
201,male,18,20,57,46,8,30.02,fail
202,female,24,31,93,91,1,53.93,pass
203,male,18,12,82,51,5,26.26,fail
204,male,23,29,91,55,6,43.5,fail
205,female,24,21,84,55,6,36.81,fail
206,male,23,33,55,82,5,51.37,pass
207,female,20,12,88,92,3,43.89,fail
208,female,24,19,72,75,5,45.66,fail
209,female,22,31,74,52,8,41.7,fail
210,male,18,11,99,46,2,33.48,fail
211,male,19,7,92,75,6,40.22,fail
212,male,21,33,68,86,9,44.16,fail
213,male,18,28,54,90,8,46.62,fail
214,male,18,7,60,48,8,28.46,fail
215,male,20,24,61,71,8,44.76,fail
216,male,22,19,59,50,7,36.79,fail
217,female,21,29,57,47,8,42.47,fail
218,male,24,34,73,72,6,45.1,fail
219,female,24,18,77,62,2,34.77,fail
220,male,24,11,90,64,2,39.97,fail
221,male,23,21,85,47,8,41.11,fail
222,male,23,24,86,84,1,55.55,pass
223,female,19,13,70,61,6,32.27,fail
224,female,21,26,57,43,6,40.44,fail
225,female,24,6,58,79,4,24.96,fail
226,female,23,28,96,42,3,48.69,fail
227,male,19,12,64,68,3,39.75,fail
228,female,22,15,97,80,1,50.41,pass
229,male,19,17,95,68,3,38.32,fail
230,male,23,21,89,73,4,50.22,pass
231,female,20,12,67,73,5,44.37,fail
232,female,20,25,91,67,3,46.36,fail
233,female,24,22,69,52,6,31.73,fail
234,female,20,34,55,54,5,43.79,fail
235,female,24,22,61,62,3,38.83,fail
236,female,24,35,51,83,6,52.58,pass
237,female,23,36,56,65,6,44.97,fail
238,female,20,15,65,43,8,35.11,fail
239,male,24,29,52,65,2,38.35,fail
240,female,21,37,94,79,1,52.17,pass
241,female,22,12,52,48,4,27.9,fail
242,male,19,15,76,94,7,45.99,fail
243,female,19,26,99,44,3,40.66,fail
244,male,23,28,92,71,3,45.84,fail
245,male,20,21,89,59,5,42.63,fail
246,female,20,16,87,89,5,53.99,pass
247,male,24,36,82,50,3,46.39,fail
248,male,18,19,77,54,9,35.73,fail
249,male,24,20,50,71,4,41.04,fail
250,male,22,26,57,67,3,48.33,fail
251,female,21,32,86,61,2,53.12,pass
252,male,19,24,81,80,9,51.27,pass
253,female,24,37,97,56,4,46.08,fail
254,male,18,14,92,65,3,37.75,fail
255,male,18,36,86,83,7,49.95,fail
256,male,24,37,53,46,8,40.39,fail
257,male,23,6,79,81,2,37.48,fail
258,female,19,37,55,65,7,51.33,pass
259,female,23,37,95,64,5,60.68,pass
260,male,21,17,68,49,5,36.38,fail
261,male,18,34,81,84,3,48.75,fail
262,female,18,37,58,58,5,44.98,fail
263,male,22,17,61,50,2,25.57,fail
264,male,21,30,60,52,4,42.08,fail
265,male,18,26,95,92,6,63.18,pass
266,female,21,6,65,47,1,26.65,fail
267,female,19,30,50,79,4,59.26,pass
268,female,20,19,94,43,6,36.89,fail
269,male,18,38,70,86,9,51.88,pass
270,male,22,15,79,70,2,34.91,fail
271,female,19,7,62,67,7,28.63,fail
272,female,24,10,83,50,6,36.39,fail
273,female,21,13,53,82,2,36.64,fail
274,female,24,10,77,40,8,34.42,fail
275,male,23,13,87,88,7,42.25,fail
276,female,19,35,80,86,5,58.51,pass
277,male,24,36,76,91,5,56.19,pass
278,female,18,16,54,77,7,46.12,fail
279,male,21,12,74,63,9,38.3,fail
280,female,20,12,52,93,9,34.45,fail
281,female,19,32,82,86,9,52.58,pass
282,female,18,24,53,70,6,47.17,fail
283,female,22,11,74,80,6,32.24,fail
284,male,23,15,69,85,3,35.46,fail
285,female,21,24,83,89,1,59.32,pass
286,male,19,20,75,65,7,37.29,fail
287,male,19,8,54,88,4,28.35,fail
288,male,20,10,84,89,1,39.41,fail
289,male,20,26,77,44,8,37.18,fail
290,female,22,30,78,59,6,44.34,fail
291,male,23,7,58,91,6,39.65,fail
292,male,22,18,87,80,2,41.62,fail
293,male,18,15,99,50,1,36.37,fail
294,female,18,22,55,93,2,47.93,fail
295,female,22,16,68,72,4,37.32,fail
296,female,23,27,93,89,2,51.9,pass
297,female,22,16,60,77,1,36.78,fail
298,male,23,17,51,66,7,31.49,fail
299,male,23,29,96,73,8,59.53,pass
300,female,24,23,93,54,6,39.69,fail
301,male,21,12,93,71,4,37.36,fail
302,male,23,33,58,60,6,51.13,pass
303,male,20,36,70,85,3,61.77,pass
304,female,23,22,73,44,8,37.19,fail
305,female,23,10,83,45,2,34.61,fail
306,male,23,22,71,77,5,44.76,fail
307,female,24,23,52,61,1,38.4,fail
308,female,24,26,61,57,6,40.88,fail
309,female,18,36,77,53,2,45.24,fail
310,female,24,7,79,49,4,28.98,fail
311,female,20,32,75,85,6,50.27,pass
312,male,20,14,97,52,8,39.26,fail
313,female,24,39,70,70,8,55.89,pass
314,male,22,33,77,69,6,46.75,fail
315,male,21,19,75,42,4,31.49,fail
316,female,24,37,82,69,8,51.32,pass
317,male,23,11,70,45,8,26.48,fail
318,male,19,16,84,68,1,40.73,fail
319,male,21,34,83,47,4,45.66,fail
320,female,21,25,90,83,4,54.27,pass
321,female,20,35,96,84,7,51.12,pass
322,male,21,28,67,82,7,49.57,fail
323,female,24,24,60,83,8,48.57,fail
324,female,23,8,72,72,5,38.42,fail
325,female,23,32,97,56,7,50.0,pass
326,female,18,24,71,87,8,47.6,fail
327,male,23,28,66,50,9,49.22,fail
328,male,23,36,54,52,3,35.61,fail
329,female,20,38,93,89,3,64.44,pass
330,female,23,6,60,50,4,23.34,fail
331,male,18,19,79,70,5,39.89,fail
332,male,19,38,64,67,1,53.5,pass
333,female,24,10,76,83,7,37.53,fail
334,male,20,16,84,45,9,33.85,fail
335,female,19,7,82,80,8,40.57,fail
336,female,20,22,69,55,5,32.7,fail
337,male,22,25,65,43,4,39.35,fail
338,male,21,19,83,74,7,37.52,fail
339,female,22,37,51,87,5,51.51,pass
340,female,23,39,84,65,7,48.77,fail
341,male,19,30,89,51,1,57.35,pass
342,female,23,12,77,50,1,34.71,fail
343,male,21,34,96,76,3,64.48,pass
344,female,20,27,88,64,2,53.43,pass
345,male,21,18,55,57,2,31.74,fail
346,male,18,18,58,58,7,40.03,fail
347,male,21,6,69,62,2,29.02,fail
348,female,18,9,50,94,4,43.15,fail
349,female,21,18,57,77,2,38.56,fail
350,male,24,29,72,93,6,47.47,fail
351,female,18,24,52,57,8,40.45,fail
352,male,19,6,53,65,4,23.27,fail
353,male,23,10,74,45,5,30.89,fail
354,female,23,21,96,43,4,36.85,fail
355,female,22,29,87,83,3,54.88,pass
356,male,23,32,64,90,5,48.29,fail
357,female,20,6,70,68,9,28.81,fail
358,female,24,39,84,73,8,63.99,pass
359,male,21,9,95,56,8,34.42,fail
360,male,22,5,63,82,8,32.47,fail
361,female,20,16,85,82,8,45.31,fail
362,male,20,27,61,92,7,56.55,pass
363,male,18,35,66,55,8,42.88,fail
364,female,23,15,88,41,8,35.27,fail
365,male,19,14,58,73,8,35.91,fail
366,male,19,7,84,94,7,35.14,fail
367,female,22,18,62,47,1,37.95,fail
368,female,24,20,64,52,4,32.4,fail
369,male,19,14,67,81,4,38.38,fail
370,male,21,33,82,47,5,41.49,fail
371,female,19,14,55,69,6,30.9,fail
372,female,22,16,76,71,4,43.71,fail
373,female,19,34,72,75,2,49.74,fail
374,female,21,5,76,86,6,26.83,fail
375,male,18,9,83,69,8,32.55,fail
376,female,24,24,95,40,8,32.96,fail
377,female,22,12,87,82,7,34.21,fail
378,male,18,16,63,78,6,40.47,fail
379,female,18,5,85,56,2,33.04,fail
380,male,18,24,57,59,7,38.56,fail
381,female,20,32,84,63,5,52.28,pass
382,female,24,16,68,89,6,47.94,fail
383,female,23,32,79,61,8,37.51,fail
384,male,24,19,63,68,8,44.84,fail
385,male,20,10,69,61,3,36.95,fail
386,female,23,24,98,83,7,58.63,pass
387,male,24,18,74,48,1,32.56,fail
388,male,18,6,89,76,1,35.24,fail
389,male,22,13,73,49,7,37.03,fail
390,male,23,24,63,75,9,51.9,pass
391,male,21,30,75,76,7,50.41,pass
392,male,21,33,87,67,5,43.96,fail
393,female,19,5,72,67,8,30.83,fail
394,female,23,39,71,81,2,54.56,pass
395,male,22,10,97,82,9,48.44,fail
396,female,20,9,68,60,6,28.08,fail
397,female,18,37,95,63,9,54.21,pass
398,female,19,18,52,81,2,43.94,fail
399,female,21,16,91,79,3,40.41,fail
400,male,20,24,68,41,8,39.2,fail
401,female,20,28,58,94,1,49.05,fail
402,female,18,38,77,47,7,45.67,fail
403,male,23,29,69,87,7,50.3,pass
404,male,21,33,94,66,1,50.26,pass
405,female,22,35,56,61,9,49.44,fail
406,female,20,27,63,76,8,40.35,fail
407,female,18,24,58,66,4,35.02,fail
408,female,22,27,68,68,5,40.47,fail
409,female,23,20,96,42,2,35.53,fail
410,female,21,12,63,83,9,46.41,fail
411,male,23,25,87,52,6,39.13,fail
412,female,20,5,85,84,3,37.62,fail
413,female,22,12,89,49,7,26.24,fail
414,male,22,33,66,75,9,55.65,pass
415,male,22,36,79,48,3,51.06,pass
416,male,20,9,58,93,2,35.62,fail
417,male,20,26,82,94,7,53.22,pass
418,female,23,38,74,66,7,49.19,fail
419,female,19,5,63,73,4,28.5,fail
420,female,23,30,60,90,9,50.33,pass
421,female,21,14,84,40,8,28.31,fail
422,female,18,34,90,71,1,53.34,pass
423,female,22,22,63,64,1,40.01,fail
424,male,19,21,79,68,5,38.83,fail
425,female,18,30,90,46,6,46.18,fail
426,male,19,12,53,88,3,32.87,fail
427,male,24,16,53,42,9,32.5,fail
428,female,23,31,77,59,6,51.35,pass
429,male,20,12,57,59,4,28.43,fail
430,female,22,29,51,92,7,46.06,fail
431,male,23,8,90,69,8,38.14,fail
433,male,24,5,71,74,6,28.52,fail
434,female,24,23,90,88,6,51.09,pass
435,female,24,35,65,78,8,51.37,pass
436,female,18,20,78,66,5,37.65,fail
437,female,18,18,98,65,3,41.82,fail
438,female,18,9,97,53,3,29.11,fail
439,male,18,30,79,56,6,46.8,fail
440,male,24,32,61,57,2,43.7,fail
441,male,24,6,84,84,6,38.11,fail
442,female,19,10,60,91,6,41.25,fail
443,male,23,13,95,68,8,45.14,fail
444,female,22,37,99,59,7,47.26,fail
445,female,20,29,70,92,8,46.1,fail
446,male,24,17,70,66,9,45.01,fail
447,male,20,13,54,57,6,28.93,fail
448,female,23,17,97,43,3,33.45,fail
449,male,23,35,69,40,3,46.48,fail
450,female,20,15,86,89,1,44.45,fail
451,female,24,8,52,40,5,25.68,fail
452,female,20,38,93,65,4,57.56,pass
453,female,19,8,82,84,9,41.36,fail
454,female,21,23,58,59,9,40.82,fail
455,male,24,10,58,91,5,44.58,fail
456,male,24,38,53,62,4,48.95,fail
457,female,22,22,84,49,7,41.96,fail
458,female,18,17,66,50,6,32.69,fail
459,male,21,27,83,80,4,48.49,fail
460,male,23,23,73,80,2,37.21,fail
461,female,24,15,81,44,1,35.21,fail
462,male,20,5,50,40,4,23.86,fail
463,female,21,28,57,56,4,40.41,fail
464,male,22,11,94,61,1,33.83,fail
465,female,23,29,72,73,6,43.89,fail
466,male,18,25,96,84,4,60.0,pass
467,female,18,19,89,80,1,47.63,fail
468,male,22,5,61,68,1,27.01,fail
469,male,22,16,61,43,1,28.25,fail
470,female,20,11,95,44,8,31.52,fail
471,male,24,19,96,50,8,44.03,fail
472,female,18,25,64,90,2,49.44,fail
473,male,23,23,90,60,7,39.77,fail
474,female,21,33,68,74,8,53.75,pass
475,male,23,29,75,51,8,43.34,fail
476,female,19,37,78,65,7,55.56,pass
477,male,19,36,71,90,5,57.25,pass
478,female,22,39,89,58,1,56.18,pass
479,male,20,30,70,84,9,52.36,pass
480,female,19,15,87,46,7,36.65,fail
481,female,18,39,69,86,2,69.69,pass
482,female,23,12,78,94,6,39.39,fail
483,male,23,18,53,46,2,31.08,fail
484,female,22,14,56,65,1,35.76,fail
485,male,24,6,77,79,7,34.43,fail
486,female,24,13,77,44,2,24.16,fail
487,male,21,7,53,60,2,22.63,fail
488,female,22,25,71,53,5,43.47,fail
489,male,21,30,61,43,5,43.14,fail
490,male,24,12,94,62,7,35.36,fail
491,female,22,6,52,81,1,31.94,fail
492,male,22,10,71,59,8,33.3,fail
493,male,22,32,93,54,3,45.41,fail
494,female,24,33,51,89,4,55.52,pass
495,male,21,30,73,91,9,52.28,pass
496,male,21,29,83,84,4,57.35,pass
497,male,22,16,76,68,5,41.62,fail
498,female,19,9,90,47,7,32.32,fail
499,male,20,38,50,80,4,54.5,pass
500,female,24,19,57,87,1,44.87,fail
501,male,20,19,72,58,9,39.76,fail
502,male,20,27,87,87,4,52.23,pass
503,male,21,10,55,78,9,33.42,fail
504,female,21,25,71,85,6,42.46,fail
505,male,19,27,74,67,1,48.1,fail
506,male,20,20,67,85,3,45.3,fail
507,female,20,19,66,66,2,36.22,fail
508,male,22,29,61,43,9,39.74,fail
509,female,21,15,55,54,1,35.04,fail
510,female,20,19,75,74,9,47.07,fail
511,male,23,8,76,76,9,27.49,fail
512,female,19,25,57,40,8,34.91,fail
513,male,23,17,68,42,8,36.85,fail
514,female,23,26,91,86,1,57.99,pass
515,female,24,23,50,63,8,40.41,fail
516,male,24,38,78,66,3,52.04,pass
517,female,19,18,94,79,7,44.93,fail
518,female,23,8,98,75,1,36.1,fail
519,female,20,31,84,73,1,54.23,pass
520,female,21,33,89,68,5,56.21,pass
521,female,19,32,63,63,5,53.25,pass
522,male,22,39,84,63,8,54.49,pass
523,female,23,12,97,81,7,37.81,fail
524,male,19,20,94,43,8,43.9,fail
525,female,18,34,69,42,6,39.95,fail
526,male,18,22,98,73,6,44.82,fail
527,male,24,6,62,88,2,28.93,fail
528,female,21,17,87,62,6,33.94,fail
529,female,20,8,98,92,5,41.84,fail
530,female,21,30,95,91,3,58.17,pass
531,male,21,29,98,62,6,47.29,fail
532,female,21,34,57,84,8,52.59,pass
533,male,21,15,92,44,9,32.48,fail
534,male,22,11,69,70,1,32.17,fail
535,male,22,35,82,92,3,58.39,pass
536,female,24,14,75,80,3,45.99,fail
537,female,19,17,88,93,8,56.79,pass
538,male,18,35,70,45,1,51.42,pass
539,male,21,11,98,76,5,39.45,fail
540,female,24,24,91,49,3,49.65,fail
541,male,19,8,92,79,2,30.67,fail
542,female,18,11,90,46,8,32.45,fail
543,male,23,5,58,78,3,31.33,fail
544,female,20,17,73,77,7,46.07,fail
545,male,22,26,86,60,1,45.86,fail
546,female,23,25,98,59,6,36.77,fail
547,male,18,26,90,42,3,42.08,fail
548,female,23,32,66,90,8,60.16,pass
549,female,20,13,73,61,6,34.85,fail
550,male,24,30,70,86,2,50.74,pass
551,male,18,13,88,43,6,35.66,fail
552,female,23,19,90,67,7,41.14,fail
553,male,22,14,88,51,5,33.21,fail
554,female,22,28,62,77,3,41.41,fail
555,male,19,12,60,90,4,49.22,fail
556,female,23,28,95,75,4,44.66,fail
557,female,21,20,68,86,6,47.23,fail
558,female,23,30,60,80,1,43.03,fail
559,female,24,31,62,44,4,36.31,fail
560,female,18,8,95,52,4,33.91,fail
561,female,18,28,94,62,1,45.81,fail
562,male,24,23,50,89,9,43.12,fail
563,male,23,14,89,69,4,40.28,fail
564,male,24,29,93,76,7,44.14,fail
565,female,20,22,68,64,3,42.86,fail
566,female,24,23,61,87,3,51.36,pass
567,female,22,14,57,66,8,36.24,fail
568,female,24,37,57,90,8,62.93,pass
569,male,18,9,94,53,1,34.31,fail
570,male,22,39,61,87,2,54.33,pass
571,female,18,38,97,86,8,65.93,pass
572,male,19,37,82,93,1,61.28,pass
573,male,21,25,94,75,8,46.39,fail
574,female,18,21,75,78,8,43.86,fail
575,male,22,26,88,55,2,45.16,fail
576,female,19,19,77,61,4,36.16,fail
577,male,18,39,54,60,6,49.83,fail
578,female,20,32,57,93,9,55.9,pass
579,female,24,11,74,60,8,41.71,fail
580,female,21,36,76,47,8,40.84,fail
581,female,18,15,95,88,7,51.71,pass
582,male,19,14,72,55,9,41.2,fail
583,female,20,13,79,94,2,34.76,fail
584,female,23,18,94,70,3,44.62,fail
585,female,19,17,96,81,8,46.97,fail
586,male,24,29,72,49,6,50.67,pass
587,female,19,6,98,71,9,42.43,fail
588,male,20,39,96,73,4,53.38,pass
589,female,19,11,69,48,8,24.6,fail
590,male,20,25,67,56,3,42.95,fail
591,male,18,22,67,50,3,31.77,fail
592,female,20,7,51,71,8,26.76,fail
593,male,20,15,53,49,5,29.55,fail
594,female,21,28,79,61,3,36.69,fail
595,female,20,23,82,56,1,44.85,fail
596,female,20,8,85,43,3,25.05,fail
597,male,23,30,67,87,9,47.91,fail
598,male,18,36,86,91,5,48.66,fail
599,female,24,37,68,86,2,57.09,pass
600,female,21,7,96,64,7,27.63,fail
601,male,23,13,77,60,2,38.32,fail
602,female,22,12,89,76,4,46.68,fail
603,female,18,37,69,77,7,51.28,pass
604,female,18,10,98,88,4,36.44,fail
605,male,22,8,82,40,7,32.4,fail
606,male,24,17,61,64,7,37.48,fail
607,male,20,6,64,90,1,32.01,fail
608,female,23,9,90,75,6,39.54,fail
609,female,19,31,88,56,9,53.27,pass
610,female,21,36,51,80,2,42.03,fail
611,male,19,25,78,63,3,36.73,fail
612,female,22,12,90,41,5,34.83,fail
613,female,18,12,59,79,9,35.45,fail
614,female,24,7,51,54,4,21.78,fail
615,female,18,7,60,71,1,33.16,fail
616,male,21,26,62,78,4,58.17,pass
617,male,18,10,59,45,6,23.72,fail
618,female,18,6,63,40,5,27.06,fail
619,male,21,27,67,86,1,50.49,pass
620,male,23,6,58,62,4,25.66,fail
621,female,23,21,88,78,6,56.62,pass
622,female,21,39,77,56,4,56.06,pass
623,male,24,38,52,73,9,45.45,fail
624,female,22,27,69,80,5,50.68,pass
625,male,18,34,55,68,8,45.53,fail
626,female,24,12,76,48,9,30.26,fail
627,male,18,26,51,52,5,38.89,fail
628,female,22,9,78,45,6,28.76,fail
629,male,23,17,87,45,1,36.52,fail
630,male,24,33,52,59,7,47.96,fail
631,male,20,35,65,91,4,62.54,pass
632,female,20,20,79,92,2,46.68,fail
633,male,20,34,89,42,5,47.12,fail
634,male,23,20,51,56,3,37.28,fail
635,female,23,16,66,88,6,41.91,fail
636,female,22,21,90,51,8,33.74,fail
637,male,18,20,61,87,7,51.02,pass
638,male,22,16,84,86,3,55.2,pass
639,female,22,12,92,84,8,48.61,fail
640,female,23,24,50,94,2,37.42,fail
641,female,20,7,94,40,9,29.61,fail
642,female,19,20,64,56,4,36.94,fail
643,female,18,34,75,42,1,37.12,fail
644,male,23,27,86,65,8,52.19,pass
645,female,20,32,70,54,7,42.03,fail
646,male,24,9,98,75,5,38.37,fail
647,male,19,24,80,71,5,39.84,fail
648,male,19,5,74,71,7,29.29,fail
649,female,23,34,72,43,5,41.17,fail
650,male,21,25,73,57,8,37.24,fail
651,male,18,24,87,88,6,58.97,pass
652,female,19,10,77,58,5,25.48,fail
653,male,23,26,70,82,9,43.68,fail
654,male,23,22,92,91,2,47.78,fail
655,female,20,12,67,74,1,37.45,fail
656,male,24,36,85,79,8,48.24,fail
657,male,21,37,84,53,3,47.46,fail
658,male,18,20,94,72,7,52.96,pass
659,female,22,16,58,53,8,37.16,fail
660,female,24,38,87,73,6,68.26,pass
661,female,24,18,79,94,9,56.75,pass
